Japanese|Romaji|Russian|Utility|Type
上げる|ageru|поднимать; повышать; давать; преподносить; заканчивать; завершать; после деепричастия указывает; что действие совершается в интересах 2- го или 3- го лица; извлекать; получать; хвалить; обходиться (небольшой суммой); отдавать (ребенка в школу); проводить (церемонию); впускать (в дом); неперех. блевать|1|
朝|asa|утро; |1|
朝 に|asa ni|утром; |1|
朝 の|asa no|утренний|1|
浅い|asai|мелкий; неглубокий; поверхностный; светлый; бледный (о цвете); ранний (о времени суток; года)|1|
明後日|asatte;myougonichi|послезавтра; послезавтрашний день|1|
足|ashi|нога; ноги; лапы; ласты; щупальца; ножка (мебели); шаг; ходьба; походка; подножие; основание (вертикали); осадка (судна); разг. деньги; проценты (на капитал); клейкость (риса; теста); множество связанных значений|1|
味|aji|вкус; прелесть  чего  л.; настроение (рынка)|1|
味 な|aji na|остроумный; тонкий|1|
明日|ashita;asu;myounichi|завтра; завтрашний день|1|
預かる|azukaru|брать на время; принимать на хранение (в депозит; на попечение); оставить партию незаконченной; признать игру ничейной; воздерживаться (от высказывания)|1|
預ける|azukeru|давать на время; сдавать на хранение (в депозит; на попечение)|1|
汗|ase|пот|1|
彼処|asoko;asuko|то место; там|1|
遊ぶ|asobu|играть; развлекаться; веселиться; прогуляться; сходить в гости; бездельничать; гулять; кутить; быть без работы (о ком  л.); не использоваться (о чем  л.); учиться (за границей)|1|
与える|ataeru|давать; предоставлять; присуждать; причинять (боль); наносить (ущерб); возлагать; ставить (задачу)|1|
温かい|atatakai|теплый|1|
暖かい|atatakai|теплый|1|
温める|atatameru|греть; подогревать|1|
暖める|atatameru|греть; подогревать|1|
頭|atama|голова; ум; мысли; образ мыслей; глава; руководитель; верхушка; верх|1|
新しい|atarashii|новый|1|
辺り|atari|ближайшее окружение; окрестности|1|
当たる|ataru|попадать  [в цель], ударяться; попадать (под дождь и т.п.); оказываться правильным; быть угаданным; сбываться; удаваться; иметь успех; соответствовать; равняться  чему  л.; приходиться  кому  л. кем  л.; падать  на какой  л. день; подходить; быть уместным; противостоять; бороться; отравиться  чем  л.; прозондировать; разузнать; доставаться; быть возложенным; лежать (в каком  л. направлении); как опред. ближайший (о дате); (плохо) обращаться  с кем  л.; быть попорченным (о фруктах); бриться|1|
厚い|atsui|толстый; сердечный; теплый|1|
暑い|atsui|жаркий; жарко|1|
熱い|atsui|горячий; пылкий; страстный; влюбленный|1|
扱う|atsukau|пользоваться  чем  л., орудовать; работать (инструментом и т.п.); обращаться; обходиться  с кем  чем  л.; принимать (гостей; клиентов)|1|
集まる|atsumaru|собираться; скопляться; быть собранным; концентрироваться|1|
集める|atsumeru|собирать; сосредоточивать|1|
当てる|ateru|накладывать; прикладывать; попадать  [в цель], ударяться; угадать; предназначать; иметь успех; выиграть (в лотерее); выставлять (на солнце и т.п.); вызывать (ученика на уроке); применять (кандзи) фонетически; класть подушку для сидения; перен. садиться|1|
後|ato|позади; после; затем; следующee; дальнейшее; остальное; остаток; последствия; эффект; будущее; потомок; преемник; раньше (на какое  л. время)|1|
穴|ana|отверстие; дыра; скважина; щель; трещина; яма; лунка; впадина; углубление; пещера; грот; нора; берлога; перен. недостача; дефицит; перен. недостаток; дефект; промах|1|
貴方|anata|ты; вы (вежливое местоимение 2- го лица)|1|
兄|ani|старший брат|1|
アニメ|anime|аниме; мультипликация (сокр. англ. animation)|1|
姉|ane|старшая сестра|1|
アパアト|apaato|многоквартирный дом; квартира (амер. apartment house)|1|
浴びる|abiru|обливаться; принимать (ванну; душ); покрываться (пылью и т.п.); перен. попасть; подставиться (под огонь; критику; обвинение и т.п.)|1|
危ない|abunai|опасный; рискованный; ненадежный; сомнительный|1|
油|abura|масло (растительное или техническое)|1|
甘い|amai|сладкий; недосоленный; недостаточно острый; мягкий; слабый; снисходительный|1|
余り|amari|излишек; избыток; остаток|1|
余り に|amari ni|слишком; чересчур; очень; с отриц. не очень; не особенно|1|
余る|amaru|быть в избытке; оставаться; превышать  что  л.|1|
網|ami|сеть; сетка|1|
雨|ame|дождь; перен. град (ударов; пуль; вопросов)|1|
怪しい|ayashii|сомнительный; подозрительный; странный; удивительный; загадочный; неуверенный; неловкий|1|
謝る|ayamaru|извиняться; просить прощения|1|
洗う|arau|мыть; умывать; промывать; стирать; перен. проверять; выяснять; расследовать; доискиваться|1|
争う|arasou|спорить; дискутировать; бороться; соревноваться; ссориться; быть в ссоре|1|
改める|aratameru|изменять; переменять; переделывать; обновлять; исправлять; улучшать; проверять; просматривать|1|
現す|arawasu|проявлять; выказывать; обнаруживать; выражать; означать|1|
表す|arawasu|выражать|1|
現れる|arawareru|появляться; возникать; проявляться; выражаться; обнаруживаться; раскрываться; становиться известным|1|
有り難う|arigatou|спасибо|1|
有る|aru|быть; существовать; иметься; найтись; находиться (располагаться) где  л.; содержаться  в чем  л.; происходить; случаться; бывать; заключаться; состоять  в чем  л., сводиться  к чему  л.; указывает на количество:   насчитывать; иметь размер; весить и т.п.; исп. в грамматических конструкциях:   [; ; ]|1|
歩く|aruku|идти  [пешком]; ходить|1|
合わせる|awaseru|[при] соединять; согласовывать; сличать; сопоставлять; подсекать (рыбу)|1|
慌てる|awateru|волноваться; нервничать; суетиться; паниковать|1|
安心|anshin|душевное спокойствие; |1|
安心 する|anshin suru|быть спокойным; успокаиваться; |1|
安心 して|anshin shite|спокойно; со спокойным сердцем|1|
安全|anzen|безопасность; сохранность; |1|
安全 の|anzen no|безопасный; надежный; |1|
安全 に|anzen ni|в безопасности; благополучно|1|
安定|antei|равновесие; устойчивость; стабильность; стабилизация; |1|
安定 する|antei suru|быть устойчивым; стабилизироваться|1|
案内 する|annai suru|быть проводником; показывать (дорогу; город; музей и т.п.); приглашать; информировать|1|
案内|annai|гид; проводник; приглашение; осведомленность; знание; информация; извещение; ком. авизо; |1|
案内 で ある|annai de aru|знать|1|
胃|i|анат. желудок; |1|
胃 の|i no|желудочный|1|
言う|iu|говорить; сказать|1|
言う と|iu to|называться|1|
家|ie|дом; здание; помещение; [свой]  дом; семья; родовое имя|1|
如何|ikaga|=11 как ?каким образом ?|1|
息|iki|дыхание; вздох; |1|
息 お する|iki o suru|дышать|1|
勢い|ikioi|сила; мощь; энергия; напряжение; побуждение; импульс; ход событий; тенденции времени; неизбежно; естественно|1|
行く|iku|после деепричастия указывает на поступательность действия; слэнг  кончить; испытать оргазм|1|
幾つ|ikutsu|сколько ?; сколько лет ?|1|
幾ら|ikura|сколько ?; сколько стоит ?|1|
池|ike|пруд; водоем|1|
生け花|ikebana|икэбана; искусство установки цветов в вазах|1|
意見|iken|мнение; взгляд; точка зрения; совет; предупреждение; |1|
意見 する|iken suru|советовать; предупреждать|1|
石|ishi|камень; шашка; (в игре го)|1|
苛める|ijimeru|издеваться  над кем  л., третировать; мучить|1|
医者|isha|врач|1|
以上|ijou|постпоз. свыше; сверх; более  [чем]; вышеуказанное; вышеупомянутое; союз  раз; поскольку|1|
以上 です|ijou desu|все; больше ничего; конец|1|
異常|ijou|нечто необыкновенное; аномалия; |1|
異常 な|ijou na|необыкновенный; аномальный; экстраординарный|1|
椅子|isu|стул|1|
急いで|isoide|поспешно; торопливо; быстро|1|
忙しい|isogashii|занятой|1|
急ぐ|isogu|спешить; торопиться; ускорять|1|
板|ita|доска; плита; лист (металла; стекла); подмостки; сцена|1|
痛い|itai|больно; болит; болезненный; чувствительный|1|
悪戯|itazura|шалость; озорство; проказа; забава; развлечение; любовная связь; разврат; |1|
悪戯 する|itazura suru|озорничать; играть; баловаться|1|
悪戯 な|itazura na|озорной; безнравственный|1|
悪戯 に|itazura ni|ради забавы; зря; напрасно; попусту; |1|
悪戯 に なる|itazura ni naru|окончиться ничем; |1|
悪戯 に する|itazura ni suru|потратить  что  л. зря|1|
頂く|itadaku|получать; принимать; брать (скромно о себе); есть; пить (о себе); быть увенчанным  чем  л., носить на голове; находиться под  чьей  л. эгидой; после деепричастия вежливо указывает; что действие выполняется собеседником в интересах говорящего|1|
位置|ichi|позиция; [рас] положение; место; |1|
位置 する|ichi suru|располагаться; размещаться|1|
一|ichi|один|1|
一応|ichiou|в общем  [и целом], более  менее; пока что; для начала; на всякий случай; [один]  раз|1|
一月|ichigatsu|январь  158017_|1|
一時|ichiji|час (время суток); [определенное]  время; в свое время; одно время; на время; временно|1|
一時 の|ichiji no|временный; непостоянный; единовременный|1|
一度|ichido;hitotabi|[один]  раз; однажды; как  то раз; разом; за один раз; один градус; одна диоптрия|1|
一日|ichinichi;ichijitsu|[один]  день; в день; весь день; целый день; однажды; первое число (месяца) 544883_|1|
市場|ichiba|рынок; базар  129245_|1|
一番|ichiban|перед прил. самый...; первый  [номер]; спорт. матч; раунд; партия; схватка   158014_|1|
一番 の|ichiban no|первый|1|
何時|itsu|когда ?, в какое время ?; |1|
何時 か|itsu ka|когда  нибудь; когда  то; |1|
何時 から|itsu kara|с каких пор; |1|
何時 まで|itsu made|до каких пор ?, как долго ?; *=15 навсегда; бесконечно; сколько угодно долго; |1|
何時 で も|itsu de mo|всегда; в любое время; с отриц. никогда  151303_|1|
五日|itsuka|пять дней; пятое число (месяца)|1|
一緒 に|issho ni|вместе; вместе; сразу; одновременно|1|
一緒 に なる|issho ni naru|соединяться; жениться; сочетаться|1|
一緒 に する|issho ni suru|соединять; смешивать; путать; женить; сочетать браком; |1|
五つ|itsutsu|пять|1|
一杯|ippai|чашка (чая; кофе и т.п.); рюмка; стакан; фужер (вина и т.п.); разг. порция выпивки; рюмочка; стаканчик; дополна; полным  полно; много; постпоз. весь; полностью; целиком|1|
一杯 の|ippai no|полный  чего  л.; |1|
一杯 に する|ippai ni suru|наполнять; |1|
一杯 に なる|ippai ni naru|наполняться; быть полным|1|
一般 の|ippan no|общий; обыкновенный; обычный; рядовой; средний; |1|
一般 に|ippan ni|в общем; в целом; вообще; обычно; как правило|1|
一方|ippou|одна сторона; другая сторона; *=08 с одной стороны...; с другой стороны...|1|
一方 で ある|ippou de aru|после глагола  только и делать _ что...; дальше и дальше   157925_|1|
何時も|itsumo|всегда; все время; обычно; как правило; с отриц. никогда; |1|
何時も の|itsumo no|обычный; постоянный; привычный|1|
糸|ito|нить; нитка; леска|1|
田舎|inaka|деревня; сельская местность; провинция; родные места|1|
田舎 の|inaka no|деревенский; сельский; провинциальный|1|
犬|inu|собака; пес; обр. презр. шпик|1|
稲|ine|рис (на корню; как растение),= Oryza sativa|1|
命|inochi|жизнь; |1|
命 の ある|inochi no aru|живой; живущий; |1|
命 の ない|inochi no nai|мертвый; бездыханный|1|
祈り|inori|молитва|1|
祈る|inoru|молиться; желать  чего  л. кому  л.|1|
違反|ihan|нарушение (закона; правил и т.п.); |1|
違反 する|ihan suru|нарушать; идти против; |1|
違反 して|ihan shite|в нарушение  чего  л.|1|
今|ima|сейчас; теперь; |1|
今 の|ima no|нынешний; теперешний; |1|
今 に|ima ni|скоро; рано или поздно; все еще; |1|
今 に も|ima ni mo|вот  вот; в любой момент; |1|
今 から|ima kara|отныне; впредь; |1|
今 まで|ima made|до сих пор; |1|
今 で も|ima de mo|и сейчас|1|
意味|imi|смысл; значение; |1|
意味 する|imi suru|означать; |1|
意味 の ある|imi no aru|многозначительный; |1|
意味 の ない|imi no nai|бессмысленный|1|
芋|imo|батат; картофель; ямс|1|
妹|imouto|младшая сестра|1|
嫌 な|iya na|неприятный; противный; |1|
嫌 に|iya ni|неприятно; противно; |1|
嫌 に なる|iya ni naru|опротиветь; надоесть|1|
入口|iriguchi|вход; въезд; входная дверь; ворота|1|
居る|iru|быть; находиться; жить; существовать; вспомогательный глагол|1|
要る|iru|быть нужным; требоваться|1|
入れる|ireru|вкладывать; вставлять; вводить; вносить; впускать; включать; вмещать; охватывать; принимать  [на службу]; заваривать (чай); принимать (совет; требование; идею)|1|
色|iro|цвет; окраска; выражение лица; облик; любовные наслаждения; сорт; вид; тип|1|
色々 な|iroiro na|всяческие; различные|1|
岩|iwa|скала; утес|1|
祝い|iwai|празднование; праздник; поздравление|1|
祝う|iwau|праздновать; чествовать; поздравлять|1|
インク|inku|чернила (англ. ink)|1|
印刷|insatsu|печать; печатание; |1|
印刷 する|insatsu suru|печатать; |1|
印刷 の|insatsu no|печатный; типографский; *=37 быть напечатанным|1|
印象|inshou|впечатление|1|
ウィスキイ|wisukii|виски (англ. whisky)|1|
上|ue|верх; после глагола  вдобавок; кроме того; поскольку; раз; коль скоро|1|
上 に|ue ni|наверху; |1|
上 から|ue kara|сверху; |1|
上 の|ue no|верхний; вышеупомянутый; высший; старший; на  чем  л., над  чем  л.; после  чего  л.; с точки зрения  чего  л.|1|
植える|ueru|сажать (растения); полигр. набирать|1|
伺う|ukagau|посещать; навещать; заходить; спрашивать; осведомляться; узнать; услышать|1|
浮く|uku|плавать; не тонуть; всплывать; подниматься (о настроении); шататься (о зубе); оставаться; быть сбереженным|1|
受付|uketsuke|прием; получение; регистратура; стойка (в учреждении); окно (справочной службы и т.п.)|1|
受け付ける|uketsukeru|принимать (заявления и т.п.)|1|
受け取る|uketoru|получать; принимать; принимать за правду; верить|1|
受ける|ukeru|принимать; получать; наследовать; подвергаться  чему  л.; ловить; парировать; быть принятым; иметь успех; быть обращенным  куда  л.|1|
動く|ugoku|двигаться; перемещаться; шевелиться; работать (о механизме и т.п.); колебаться; меняться; быть тронутым (взволнованным)|1|
牛|ushi|бык; корова; крупный рогатый скот|1|
失う|ushinau|терять; утрачивать; лишаться|1|
後[ろ]|ushiro|позади; сзади|1|
薄い|usui|тонкий; слабый (о растворе), жидкий; светлый; бледный (о цвете); редкий (о волосах)|1|
歌|uta|песня; [японское]  стихотворение|1|
歌う|utau|петь|1|
疑う|utagau|сомневаться; не доверять; подозревать|1|
内|uchi|дом; семья; |1|
内 の|uchi no|мой; наш|1|
内 に|uchi ni|внутри; среди; пока; в течение...|1|
打つ|utsu|бить; ударять; стучать; забивать (гвоздь; сваю); бить (о часах); атаковать; стрелять; бейсбол  отбивать (мяч); ковать (напр. меч); хлопать (в ладоши); затронуть (сердце); отрубить (голову); отбить (телеграмму); сыграть (партию в карты; го и т.п.); разыгрывать (сцену; спектакль); возделывать (поле), пахать; приготовлять (лапшу); плести (тесьму); забрасывать (сеть); платить (деньги по контракту); поливать; орошать; поддакивать|1|
美しい|utsukushii|красивый; прекрасный|1|
移す|utsusu|перемещать; переносить; направлять; отправлять; разносить (инфекцию); заражать|1|
映す|utsusu|отражать; бросать (тень)|1|
写す|utsusu|снимать копию; переписывать; снимать; фотографировать; изображать; описывать|1|
移る|utsuru|переезжать; перебираться; переходить (в другие руки; с одного на другое и т.п.); быть заразным; заражаться; меняться (о времени и т.п.)|1|
映る|utsuru|отражаться; падать (о тени); выходить (о снимке); гармонировать|1|
写る|utsuru|выходить (о снимке)|1|
腕|ude|рука (от плеча); перен. умение; мастерство|1|
馬|uma|лошадь; конь|1|
旨い|umai|вкусный; умелый; искусный; хороший; успешный; выгодный|1|
上手い|umai|умелый; искусный; удачный; успешный|1|
生まれ|umare|рождение|1|
生まれる|umareru|родиться|1|
海|umi|море|1|
産む|umu|рождать; рожать; порождать; приносить|1|
裏|ura|другая (дальняя; задняя; внутренняя)  сторона; оборот; изнанка; подкладка|1|
羨ましい|urayamashii|завидный; завистливый; завидно|1|
売る|uru|продавать; предавать; изменять|1|
煩い|urusai|шумный; громкий; надоедливый; докучливый; замолчи!, отстань!, надоел!|1|
上着|uwagi|пиджак; куртка; китель; верхнее кимоно|1|
運転|unten|вождение (автомобиля и т.п.); управление (механизмом); [умелое]  использование  чего  л.; |1|
運転 する|unten suru|вести; пилотировать; сидеть за рулем; управлять  чем  л., работать  на чем  л.; использовать|1|
運動|undou|движение; физические упражнения; физкультура; спорт; общественное (политическое) движение; кампания; |1|
運動 する|undou suru|двигаться; заниматься физкультурой; разворачивать движение; проводить кампанию|1|
絵|e|рисунок; картина|1|
映画|eiga|кинофильм; кино|1|
影響|eikyou|влияние; воздействие; |1|
影響 する|eikyou suru|влиять; воздействовать; |1|
影響 で|eikyou de|под влиянием  кого  чего  л.|1|
英語|eigo|английский язык; |1|
英語 で|eigo de|по  английски|1|
駅|eki|станция; вокзал|1|
液体|ekitai|жидкость; жидкое тело; |1|
液体 の|ekitai no|жидкий|1|
エスカレエタア|esukareetaa|эскалатор (англ. escalator)|1|
枝|eda|ветвь; ветка; ответвление|1|
偉い|erai|великий; выдающийся; замечательный; прост. сильный; ужасный|1|
選ぶ|erabu|выбирать; отбирать; избирать|1|
得る|eru|получать; завоевывать; мочь; быть в состоянии|1|
エレベエタア|erebeetaa|лифт (амер. elevator)|1|
延期|enki|отсрочка; откладывание; продление; пролонгация; |1|
延期 する|enki suru|откладывать; переносить; продлевать; пролонгировать; |1|
延期 に なる|enki ni naru|быть отложенным (перенесенным)|1|
エンジン|enjin|двигатель; мотор (англ. engine)|1|
演奏|ensou|исполнение (музыки), игра (на инструменте); |1|
演奏 する|ensou suru|играть; исполнять|1|
延長|enchou|продление; удлинение; протяженность (дороги и т.п.)|1|
延長 する|enchou suru|продлевать; удлинять|1|
鉛筆|enpitsu|карандаш|1|
遠慮|enryo|дальновидность; прозорливость; застенчивость; скромность; ист. домашний арест|1|
遠慮 の ある|enryo no aru|дальновидный|1|
遠慮 する|enryo suru|стесняться; церемониться; воздерживаться  от чего  л.|1|
遠慮 なく|enryo naku|без стеснения; не церемонясь; свободно; |1|
遠慮 の ない|enryo no nai|нестесненный; открытый; бесцеремонный|1|
美味しい|oishii|вкусный|1|
追い付く|oitsuku|догонять; нагонять; настигать; перен. догнать; сравняться  с кем  л. в чем  л.; с отриц. не мочь поспеть  за кем  чем  л.; не мочь сравниться  с чем  л.|1|
オイル|oiru|масло (растительное или техническое); керосин; нефть (англ. oil)|1|
追う|ou|гнать; выгонять; преследовать; гнаться|1|
往復|oufuku|[движение]  туда и обратно (в оба конца); билет в оба конца; переписка; |1|
往復 する|oufuku suru|ездить (ходить) туда и обратно; переписываться; обмениваться письмами|1|
多い|ooi|много; многочисленный; обильный; частый|1|
大きい|ookii|большой; крупный|1|
多く の|ooku no|много; большое количество|1|
多く|ooku|главным образом; большей частью|1|
大勢|oozei|много народу; толпа; |1|
大勢 の|oozei no|многочисленный  141117_|1|
丘|oka|холм; возвышенность|1|
お母さん|okaasan|мать; мама|1|
可笑しい|okashii|смешной; забавный; комичный; странный; непонятный; чудной; неподобающий; неуместный; подозрительный; сомнительный|1|
起きる|okiru|вставать  [на ноги], подниматься; просыпаться; не спать; случаться; возникать|1|
奥|oku|внутренняя (дальняя) часть; глубь; скрытое  [в глубине]|1|
億|oku|сто миллионов|1|
置く|oku|класть; ставить; помещать; оставлять  [как есть]; держать; хранить; учреждать; открывать; назначать; ставить  [на должность]; оставлять промежутки; после деепр. делать заранее|1|
奥さん|okusan|[ваша; его]  супруга|1|
臆病|okubyou|трусость; робость; |1|
臆病 な|okubyou na|трусливый; робкий; малодушный; |1|
臆病 に なる|okubyou ni naru|струсить; оробеть|1|
贈り物|okurimono|дар; подарок; подношение; |1|
贈り物 お する|okurimono o suru|делать подарок; преподносить|1|
送る|okuru|посылать; отправлять; направлять; провожать; сопровождать  кого  л.; проводить (время); писать окуриганой|1|
贈る|okuru|преподносить; дарить; награждать (орденом и т.п.); присваивать (звание и т.п.)|1|
後れる|okureru|опаздывать; задерживаться; отставать|1|
遅れる|okureru|опаздывать; задерживаться; отставать|1|
起こす|okosu|поднимать  [на ноги]; будить; начинать; основывать; вызывать; производить|1|
行う|okonau|совершать; осуществлять|1|
起こる|okoru|случаться; происходить; возникать|1|
怒る|okoru|сердиться; злиться|1|
納める|osameru|вносить; уплачивать; приносить в дар (храму); снабжать; поставлять; убирать; помещать  куда  л.; принимать|1|
惜しい|oshii|жаль; жалко; ценный; дорогой  кому  л.; достойный лучшего  [применения]|1|
(お)祖父さん|ojiisan|дед; дедушка|1|
教える|oshieru|преподавать; учить; обучать; объяснять; показывать|1|
お辞儀|ojigi|поклон; |1|
お辞儀 する|ojigi suru|кланяться|1|
伯父さん|ojisan|дядя (уважительное либо задушевное обращение)|1|
押す|osu|давить; нажимать; толкать|1|
遅い|osoi|поздний; поздно; медленный|1|
恐らく|osoraku|пожалуй; боюсь; что...|1|
恐れ|osore|страх; боязнь; опасность|1|
恐れる|osoreru|бояться|1|
恐ろしい|osoroshii|страшный; ужасный|1|
穏やか な|odayaka na|спокойный; тихий; мирный; умеренный; разумный; |1|
穏やか に|odayaka ni|спокойно; тихо; мирно; гладко; умеренно; разумно; по  хорошему|1|
穏やか に なる|odayaka ni naru|успокоиться|1|
落ち着く|ochitsuku|успокаиваться (о ком  л. или чем  л.); устраиваться; водворяться; останавливаться; селиться; обретать устойчивость; установиться (о точке зрения и т.п.); прийти (к заключению); подходить; гармонировать|1|
落ちる|ochiru|падать; сваливаться; обрушиться; развалиться; понижаться; падать; быть ниже (хуже) чего  л.; выпасть; быть пропущенным (в тексте); проваливаться (на экзамене; выборах); попадаться (в руки); заходить (о солнце и луне); впадать (о реках); стихать (о ветре); спускаться вниз по течению (о рыбе); сходить (о пятне); линять (о краске); пасть (о крепости); упасть без чувств; умереть; уст. бежать (из столицы)|1|
音|oto|звук; шум; связ. слава; известность|1|
音 が する|oto ga suru|издавать звук|1|
お父さん|otousan|отец; папа|1|
弟|otouto;ototo|младший брат|1|
男|otoko|мужчина; парень; перен. мужская честь|1|
男 の|otoko no|мужской|1|
男の子|otokonoko|мальчик|1|
落とす|otosu|ронять; сбрасывать; стряхивать; удалять; сводить; сбривать; пропускать; упускать; снижать; ухудшать; умалять; терять (напр. кошелек); проигрывать; промазать; не попасть (по мячу); тратить; оставлять (деньги); пускать с молотка; изгонять (злого духа); захватывать; брать (крепость и т.п.); поймать (в ловушку); провалить (экзамен; кандидата); уст. дать бежать; упустить; заканчивать рассказ остроумной концовкой (каламбуром)|1|
一昨日|ototoi;issakujitsu|позавчера; позавчерашний день|1|
一昨年|ototoshi;issakunen|позапрошлый год|1|
大人|otona|сущ. взрослый; |1|
大人 の|otona no|взрослый; |1|
大人 に なる|otona ni naru|вырасти; стать взрослым|1|
大人しい|otonashii|спокойный; тихий; кроткий; послушный; ручной; мягкий; спокойный (о цвете)   109254_|1|
踊る|odoru|танцевать; плясать|1|
驚く|odoroku|удивляться; изумляться; восхищаться; пугаться|1|
お腹|onaka|разг. живот; желудок|1|
同じ|onaji|одинаковый; такой же; тот же|1|
(お)祖母さん|obaasan|бабушка; старушка|1|
お早う御座居ます|ohayougozaimasu|доброе утро!|1|
覚える|oboeru|помнить; запоминать; усваивать; выучивать; чувствовать; осознавать|1|
御目出度う(御座居7ます)|omedetougozaimasu|поздравляю!|1|
主 な[る]|omo na[ru]|главный; основной|1|
重い|omoi|тяжелый (в разных значениях); важный; серьезный|1|
思い出す|omoidasu|вспоминать|1|
思う|omou|думать; полагать; считать; надеяться; намереваться; заботиться; представлять себе|1|
面白い|omoshiroi|интересный; любопытный; занятный; приятный; перспективный|1|
玩具|omocha;gangu|игрушка; |1|
玩具 に する|omocha;gangu ni suru|забавляться; баловаться  с чем  л.|1|
表|omote|наружная (лицевая; верхняя; передняя)  сторона; поверхность; фасад; аверс; внешность; наружность; передняя; гостиная; верх татами; бейсбол  первая половина иннинга|1|
表 に (で)|omote ni (de)|снаружи; на улице|1|
主に|omoni|главным образом; большей частью|1|
親|oya|родители; отец  [и мать]; перен. создатель  чего  л.; сдающий (карты), понтер|1|
お休みなさい|oyasuminasai|спокойной ночи!|1|
泳ぐ|oyogu|плавать; купаться|1|
織物|orimono|ткань; материя; текстиль|1|
下りる|oriru|спускаться; сходить  [вниз]; опускаться; падать (о занавесе и т.п.); садиться (о птицах; самолетах и т.п.); исторгаться (телом); иметь выкидыш; выдаваться (о разрешениях и т.п.)|1|
降りる|oriru|сходить (с поезда и т.п.); спускаться; сходить вниз; выпадать (о росе; инее и т.п.); отказываться  от чего  л.; выходить (из игры и т.п.)|1|
折る|oru|ломать; переламывать; складывать; сгибать; загибать; уступать; сдаваться|1|
下ろす|orosu|опускать; спускать; снимать; сгружать; спускать на воду (судно); снимать (деньги с банковского счета); надеть впервые; обновить; сделать аборт; выкинуть; натирать на терке; нарезать тонкими ломтиками (рыбу); вызывать духа (заклинаниями); мат. сносить (при умножении); занимать (при вычитании); синт. забирать обратно (старое приношение в храм)|1|
降ろす|orosu|давать сойти; помочь выйти (из поезда и т.п.); снять (багаж и т.п.); опустить; спустить; лишить (места), сместить|1|
終[わ]り|owari|конец; окончание; финал|1|
終[わ]る|owaru|заканчивать [ся]|1|
音楽|ongaku|музыка; |1|
音楽 の|ongaku no|музыкальный|1|
温泉|onsen|горячий  [минеральный]  источник; термальный курорт|1|
温度|ondo|температура|1|
女|onna|женщина; |1|
女 の|onna no|женский|1|
女の子|onnanoko|девочка|1|
貝|kai|раковина; моллюск с раковиной|1|
海岸|kaigan|[морской]  берег; побережье; |1|
海岸 の|kaigan no|береговой; прибрежный; |1|
海岸 に|kaigan ni|у моря; на море|1|
会議|kaigi|собрание; заседание; совещание; совет; конференция; сессия|1|
会計|kaikei|счета; финансы; бухгалтерия; счет; оплата счета|1|
解決|kaiketsu|[раз] решение (вопроса и т.п.); |1|
解決 する|kaiketsu suru|разрешать (вопрос), улаживать (проблему); разрешаться; улаживаться|1|
外国|gaikoku|иностранное государство; заграница; |1|
外国 の|gaikoku no|заграничный; иностранный; |1|
外国 で|gaikoku de|за границей|1|
会社|kaisha|компания; фирма|1|
外人|gaijin|иностранец|1|
階段|kaidan|лестница; ступени|1|
回復|kaifuku|восстановление; выздоровление; |1|
回復 する|kaifuku suru|восстанавливать [ся]; выздоравливать|1|
買物|kaimono|покупки (действие), шопинг; покупка (купленная вещь); хорошая сделка; удачное приобретение|1|
買物 お する|kaimono o suru|делать покупки|1|
