Japanese|Romaji|Russian|Utility|Type
十|JUU|десять|1|
十|too|десять|1|
出る|deru|выходить; появляться; присутствовать; исходить; проистекать; выступать; выдаваться; превышать; выступать (в соревнованиях и т.п.); оканчивать (учебное заведение); служить  где  л.; получаться; выходить; продаваться; раскупаться; найтись|1|
出す|dasu|выставлять; высовывать; вынимать; вытаскивать; давать; выдавать; демонстрировать; предъявлять; посылать; отправлять; помещать (в печати)|1|
出|de|выход; появление; происхождение; расходы; издержки; продажа; спрос; урожай; начало|1|
出でる|ideru|устаревшее:  выходить|1|
出し|dashi|бульон; суп; предлог; отговорка; орудие (в чьих  л. руках)|1|
出し に する|dashi ni suru|использовать как предлог|1|
出だす|idasu|устаревшее:|1|
出だし|idashi|начало|1|
出しゃばる|deshabaru|лезть не в свое дело|1|
出しゃばり|deshabari|докучливый человек|1|
女|onna|женщина|1|
女 の|onna no|женский|1|
女らしい|onnarashii|женственный; присущий женщине|1|
女っぽい|onnappoi|женоподобный; бабий|1|
女々しい|memeshii|женоподобный; бабий|1|
女だてらに|onnadaterani|несмотря на то; что  [она]  женщина|1|
小さい|chiisai|маленький; небольшой; мелкий|1|
小さな|chiisana|маленький; небольшой; мелкий|1|
小っちゃい|chitchai|просторечное:    маленький; небольшой; мелкий|1|
小ざっぱり した|kozappari shita|опрятный; чистенький|1|
小ぢんまり と した|kodinmari to shita|скромный; тихий; мирный|1|
小|SHOU|малое в идиомах|1|
上|ue|верх; после глагола  вдобавок; кроме того; поскольку; раз; коль скоро|1|
上|uwa|верх; после глагола  вдобавок; кроме того; поскольку; раз; коль скоро|1|
上 に|ue ni|наверху|1|
上 に|uwa ni|наверху|1|
上 から|ue kara|сверху|1|
上 から|uwa kara|сверху|1|
上 の|ue no|верхний; вышеупомянутый; высший; старший; на  чем  л., над  чем  л.; после  чего  л.; с точки зрения  чего  л.|1|
上 の|uwa no|верхний; вышеупомянутый; высший; старший; на  чем  л., над  чем  л.; после  чего  л.; с точки зрения  чего  л.|1|
上|kami|верх; верхушка; верхнее течение; верхи; власти|1|
上 の|kami no|верхний|1|
上げる|ageru|поднимать; повышать; давать; преподносить; заканчивать; завершать; после деепричастия указывает; что действие совершается  в интересах 2- го или 3- го лица; извлекать; получать; хвалить; обходиться (небольшой суммой); отдавать (ребенка в школу); проводить (церемонию); впускать (в дом); неперех. блевать|1|
上がる|agaru|подниматься; повышаться; выходить (из воды; ванны); заходить (в дом; комнату); закончиться; прийти к концу; извлекаться (о доходах); обходиться (недорого); волноваться; нервничать; погибать (о рыбе; рептилиях; насекомых и растениях); быть возложенным (о цветах); перех. вежл. кушать; пить|1|
上がり|agari|прямое и переносное:  подъем; повышение; выручка; доход; урожай; окончание; завершение; гибель (рыб и т.п.); свежезаваренный чай|1|
上る|noboru|подниматься; взбираться; направляться в столицу; ставиться (о вопросе)|1|
上り|nobori|дорога в гору; подъем; восхождение; идущий в столицу (поезд и т.п.)|1|
上せる|noboseru|поднимать; повышать; вносить (в повестку и т.п.)|1|
上す|nobosu|поднимать; повышать; вносить (в повестку и т.п.)|1|
上|JOU|верх; лучшее в идиомах; первый том (из двух или трех); (надпись на обертке)|1|
上々|JOUJOU|наилучший|1|
お上さん|okamisan|разг. чья  л. жена; хозяйка|1|
森|mori|лес; храмовая роща; фамилия|1|
人|hito|человек; люди; личность; характер; другой; другие; кто [- нибудь], кто  то|1|
人々|hitobito|люди; народ|1|
人々|NINNIN|каждый  [человек]  в отдельности|1|
人となり|hitotonari|натура; характер|1|
人らしい|hitorashii|достойный  [звания человека]|1|
水|mizu|вода; холодная вода|1|
水っぽい|mizuppoi|водянистый|1|
水|SUI|сокр. среда|1|
正しい|tadashii|правильный; верный; правый; справедливый; честный; законный; легальный|1|
正す|tadasu|исправлять; выправлять; выяснять (правильность чего  л.)|1|
正に|masani|как раз; точно; ровно; именно|1|
正しく|masashiku|явно; несомненно; точно|1|
正|SEI|справедливость; правда в идиомах; мат. положительное (число); филос. тезис|1|
生まれる|umareru|родиться|1|
生まれ|umare|рождение|1|
生まれながら の|umarenagara no|от рождения|1|
生む|umu|рождать; приносить|1|
生み の|umi no|родной (о родителе; ребенке)|1|
生きる|ikiru|жить; быть живым|1|
生かす|ikasu|оживлять; оставлять в живых; использовать наилучшим образом; восстанавливать (зачеркнутое)|1|
生ける|ikeru|расставлять цветы; делать икэбану; держать живым; опред. живой|1|
生き|iki|свежесть (напр. рыбы); восстановление зачеркнутого|1|
生える|haeru|расти (о растениях; также о  волосах; ногтях; зубах; крыльях)|1|
生やす|hayasu|отпускать; носить (бороду; усы)|1|
生る|naru|плодоносить|1|
生らす|narasu|заставлять (дерево) плодоносить|1|
生す|nasu|книжное:  рожать|1|
生す|musu|расти (о мхе и т.п.)|1|
生|SEI|жизнь; существование; эпист. я (мужчина о себе)|1|
生 の|nama no|сырой; необработанный; неготовый; неопытный|1|
生 で|nama de|наличными; слэнг  без презерватива|1|
生|nama|разливное пиво; дерзость|1|
生 の|ki no|необработанный; неочищенный|1|
生|ki|неочищенное сакэ|1|
生じる|SHOUJIRU|возникать; происходить; порождать; вызывать; произрастать; водиться|1|
生々しい|namanamashii|свежий; яркий (о воспоминании и т.п.)|1|
青い|aoi|синий; голубой; зеленый; бледный (о лице); незрелый|1|
青|ao|голубое; синее; зеленый сигнал (светофора)|1|
青ざめる|aozameru|побледнеть|1|
青々|aoao|ярко  зеленый; свежий (о зелени)|1|
青む|aomu|зеленеть|1|
青ばむ|aobamu|зеленеть|1|
石|ishi|камень; шашка; (в игре го)|1|
石|koku|мера емкости  [риса](180  л; 10  то; 150  кг риса); мера объема  [пиломатериалов](0,278  куб. м.,10  куб. сяку)|1|
赤い|akai|красный|1|
赤|aka|красное; красный цвет; , коммунист|1|
赤ちゃん|akachan|ласк. младенец|1|
赤らむ|akaramu|краснеть|1|
赤らめる|akarameru|заливаться румянцем|1|
赤ばむ|akabamu|окрашиваться красным|1|
赤 たる|akaaka taru|ярко  красный|1|
先|saki|кончик; острие; верхушка; первенство; дальше; далее; впереди  чего  л.; раньше; прежде; цель; конечный пункт; будущее; дальнейшее; продолжение; окончание; остальное; другая сторона (в споре и т.п.)|1|
先 に|saki ni|впереди; первым; заранее; до того как...|1|
先 の|saki no|прежний; бывший|1|
先ず|mazu|сначала; прежде всего; в целом; можно сказать; во всяком случае; так или иначе; ну; теперь...|1|
先んじる|sakinjiru|опережать; предвосхищать|1|
先|SEN|будущее; преимущество; инициатива; первый ход|1|
先 の|SEN no|прежний; бывший|1|
先々|sakizaki|[отдаленное]  будущее; различные места (в поездке)|1|
先々 から|sakizaki kara|заранее|1|
千|SEN|тысяча|1|
千|chi|архаичное:  тысяча|1|
千々に|chidini|вдребезги (разбиться); горько (сокрушаться)|1|
千々に|chiji|вдребезги (разбиться); горько (сокрушаться)|1|
川|kawa|река|1|
早い|hayai|ранний; рано; быстрый; скорый|1|
早める|hayameru|ускорять; приближать|1|
早まる|hayamaru|[слишком]  торопиться|1|
早や|haya|уже; теперь|1|
お早う|ohayou|доброе утро!|1|
早々|SOUSOU|в самом начале; сразу же|1|
早々|hayabaya|рано; быстро|1|
草|kusa|трава|1|
草する|SOUSURU|писать; набрасывать|1|
草々 の|SOUSOU no|поспешный|1|
草々|SOUSOU|(в конце письма)|1|
足|ashi|нога; ноги; лапы; ласты; щупальца; ножка (мебели); шаг; ходьба; походка; подножие; основание (вертикали); осадка (судна); разговорное:  деньги; проценты (на капитал); клейкость (риса; теста); множество связанных значений|1|
足りる|tariru|быть достаточным; хватать|1|
足る|taru|быть достаточным; хватать|1|
足りない|tarinai|не хватает; недостаточно; не стоит; не годится; просторечное:  глупый|1|
足らず|tarazu|не хватает; недостаточно; не стоит; не годится; просторечное:  глупый|1|
足す|tasu|добавлять; прибавлять; сделать дело|1|
足し|tashi|дополнение; добавка; помощь|1|
お足|oashi|просторечное:  деньги; монета|1|
足まめ|ashimame|хороший ходок|1|
村|mura|деревня|1|
大きい|ookii|большой; крупный|1|
大きな|ookina|большой; крупный|1|
大いに|ooini|очень; весьма; в высшей степени; очень; весьма; в высшей степени|1|
大まか|oomaka|в общих чертах; в целом; широко; щедро|1|
大まか|oomakani|в общих чертах; в целом; широко; щедро|1|
大ざっぱ|oozappa|приблизительно; примерно|1|
大ざっぱ|oozappani|приблизительно; примерно|1|
大いなる|ooinaru|большой; огромный; великий|1|
大らか な|ooraka na|спокойный; великодушный|1|
大した|TAISHITA|большой; серьезный; важный|1|
大して|TAISHITE|с отриц. не очень; не особенно|1|
大|DAI|связ. большое; большой|1|
男|otoko|мужчина; парень; переносное:  мужская честь|1|
男 の|otoko no|мужской|1|
男らしい|otokorashii|мужской; маскулинный; присущий мужчине|1|
男っぽい|otokoppoi|мужеподобный|1|
竹|take|бамбук; = bambuseae|1|
中|naka|середина; внутренняя часть; время  чего  л., разгар  чего  л.|1|
中 で|naka de|внутри; в; среди; между|1|
中|uchi|внутри; пока; в течение...|1|
中|CHUU|центр; середина; среднее; второй том (из трех)|1|
中る|ataru|попадать (в цель); отравиться; повредить здоровью|1|
お中|onaka|разговорное:  живот; желудок|1|
中々|nakanaka|весьма; очень; с отриц. никак; далеко не...|1|
中でも|nakademo|особенно; главным образом|1|
虫|mushi|насекомое; червь; гусеница; паразиты (употребляется также в ряде идиом)|1|
町|machi|[небольшой]  город; район города; квартал; кварталы; городские улицы|1|
町|CHOU|мера длины (109,09  м; 60  кэн); мера площади (0,9917  га; 10  тан; 3000  цубо)|1|
天|TEN|небо; небеса; провидение; небо; природа; судьба; дэва; божество (в индуизме и буддизме); верхний обрез (книги)|1|
天|ame|устаревшее:  небо|1|
天|ama|устаревшее:  небо|1|
田|ta|рисовое поле|1|
土|tsuchi|земля|1|
土|DO|сокр. суббота|1|
二|NI|два|1|
二つ|futatsu|два|1|
日|hi|солнце; день|1|
日々|hibi|ежедневно; день за днем|1|
日々|NICHINICHI|ежедневно; день за днем|1|
日|NICHI|сокр. воскресенье|1|
日ならず して|hinarazu shite|книжное:  на днях; скоро|1|
入る|iru|входить; вступать; садиться (о солнце); достигать|1|
入れる|ireru|вкладывать; вставлять; вводить; вносить; впускать; включать; вмещать; охватывать; принимать  [на службу]; заваривать (чай); принимать (совет; требование; идею)|1|
入り|iri|вхождение; вход; заход (солнца); публика; посетители; вместимость; доход; начало (сезона; периода)|1|
入|NYUU|вкл (метка на выключателе)|1|
年|toshi|год; возраст; годы; лета|1|
年|NEN|год; срок службы; срок обучения|1|
年々|NENNEN|ежегодно|1|
白い|shiroi|белый; чистый; пустой; невиновный|1|
白|shiro|белое; белый камень (в игре го); невиновность|1|
白っぽい|shiroppoi|белесый|1|
白む|shiramu|светлеть (о небе)|1|
白ける|shirakeru|портиться; расстраиваться (о веселой атмосфере)|1|
白々しい|shirajirashii|явный; неприкрытый|1|
八|HACHI|восемь|1|
八つ|yatsu|восемь|1|
八つ|yattsu|восемь|1|
お八|oyatsu|разговорное:  полдник|1|
百|HYAKU|сто|1|
百|momo|возвышенное: сто; много|1|
文|BUN|письменность; литература; сочинение; текст; стиль; , гражданские занятия; грам. предложение|1|
文|MON|старинная мелкая монета (1/1000  кан); единица размера обуви (24  мм; диаметр монеты в 1  мон)|1|
文|fumi|> устаревшее:; письмо; любовное послание; книга; литература; просвещение|1|
文|aya|узор; лит. фигура речи|1|
本|HON|книга|1|
本の|HONNO|только; всего лишь|1|
本|moto|основа; источник; корни (дерева)|1|
名|na|имя; название; имя; репутация; известность; предлог; отговорка|1|
名うて|naute|книжное:  известный; отъявленный|1|
木|ki|дерево; дерево; лес (материал); [деревянные]  била (в японском театре)|1|
木 の|ki no|древесный; деревянный|1|
木|MOKU|сокр. четверг|1|
木々|kigi|каждое дерево; деревья|1|
目|me|глаза; глаз; зрение; взгляд; чье  л. понимание; точка зрения; ячейка; клетка; петля; промежуток; деление на шкале; пересечение линий (на доске для го); очки (на игральных костях); зуб (пилы); (мера веса); множество связанных значений|1|
目|MOKU|пункт; параграф; биол. отряд; подкласс; порядок; счетчик для камней или пересечений  линий на доске в игре го|1|
目する|MOKUSURU|книжное:  считать; рассматривать|1|
目ぼしい|meboshii|примечательный; заметный; ценный; дорогой|1|
目まぐるしい|memagurushii|головокружительный|1|
夕べ|yuube|вечер|1|
夕|yuu|книжное:   вечер|1|
立つ|tatsu|стоять; вставать; прямое и переносное:  подниматься; стоять; быть воздвигнутым; быть основанным; отправляться  куда  л.; быть выработанным (о плане и т.п.); быть правильным (о рассуждении и т.п.); вступать в жизнь; начинать зарабатывать; получаться (о частном при делении); многочисленные связанные значения|1|
立つ を|tatsu wo|покидать; уезжать  откуда  л.|1|
立つ に|tatsu ni|выступать в роли  кого  л., быть  кем  л.|1|
立つ が|tatsu ga|быть искусным  в чем  л.|1|
立てる|tateru|ставить  [стоймя]; устанавливать; определять; выдвигать; строить; воздвигать; основывать; учреждать; заваривать (чай); закрывать (дверь; седзи); почитать; уважать; быть верным; многочисленные связанные значения|1|
立ち|tachi|отправление; отъезд; течение времени; сгорание; выгорание (угля)|1|
立て|tate|театр. главная роль; главный актер|1|
立|rittoru|литр|1|
力|chikara|сила (в разных значениях); бодрость; энергия; сила духа; усилия; старания; способности; данные; познания; помощь; поддержка; содействие|1|
力む|rikimu|стараться; силиться; хвастаться; грозиться|1|
林|hayashi|роща; лес; фамилия|1|
六|ROKU|шесть|1|
六つ|mutsu|шесть|1|
六つ|muttsu|шесть|1|
引く|hiku|тянуть; тащить; вести (за руку; на поводу и т.п.); привлекать (внимание и т.п.); проводить (линию; воду; телефон и т.п.); приводить (цитату; пример); отступать; уходить (в отставку); спадать (о жаре и т.п.); вычитать; уступать (в цене); искать в словаре; простудиться; затупить лезвие|2|
引き|hiki|протекция; блат; скидка; уступка|2|
引ける|hikeru|закрываться (об учреждении); заканчиваться (о занятиях и т.п.); робеть|2|
引け|hike|время окончания работы; поражение; потери|2|
羽|ha|перья; оперение|2|
羽|hane|перо; оперение; крылья; тех. лопасть; лопатка|2|
羽|wa|перо; оперение; крылья; тех. лопасть; лопатка|2|
雲|kumo|облако; туча|2|
園|sono|сад|2|
遠い|tooi|далекий; далеко|2|
遠く に|tooku ni|вдали; далеко|2|
遠く から|tooku kara|издали; издалека|2|
遠ざかる|toozakaru|удаляться; отдаляться; держаться на расстоянии|2|
遠ざける|toozakeru|удалять; отдалять; воздерживаться; избегать|2|
黄|ki|желтый  [цвет]|2|
黄ばむ|kibamu|желтеть|2|
黄ばみ|kibami|желтизна|2|
何|nani|что (вопросительное слово)|2|
何|nan|что (вопросительное слово)|2|
何の|nanno|какой; что за...; с отриц. никакой; в начале фразы  подумаешь!|2|
何か|nanika|что  нибудь; что  то|2|
何か の|nanika no|какой  нибудь; какой  то|2|
何も|nanimo|>  с отриц.; ничего; отнюдь; вовсе; незачем; нечего|2|
何より も|naniyori mo|больше (прежде) всего|2|
何より の|naniyori no|самый лучший|2|
何で|nande|разговорное:  почему ?, отчего ?|2|
何でも|nandemo|все  [что угодно]; во что бы то ни стало; как будто; кажется; говорят|2|
何でもない|nandemonai|пустяшный; ерундовый|2|
何でもない でも|nandemonai demo|никакой  [он]  не...|2|
何だか|nandaka|разговорное:  что  то; чего  то; как  то|2|
何ぞ|nanzo|разговорное:  что  нибудь; какой  нибудь; книжное:  вот еще!; почему же ?; что за...!|2|
何と|nanto|что; воскл. частица  как!; в начале фразы  кстати; послушайте|2|
何て|nante|разговорное:; что; воскл. частица  как!; в начале фразы  кстати; послушайте|2|
何とか|nantoka|что  то; что  нибудь|2|
何とか して|nantoka shite|как  нибудь; так или иначе|2|
何とか なる|nantoka naru|получится; сойдет|2|
何とか した|nantoka shita|приемлемый; подходящий|2|
何とかか(ん)とか して|nantokaka(n)toka shite|разговорное:  так или иначе; не мытьем; так катаньем|2|
何としても|nantoshitemo|во что бы то ни стало|2|
何となく|nantonaku|почему  то; что  то; ни с того; ни с сего|2|
何とはなしに|nantohanashini|почему  то; что  то; ни с того; ни с сего|2|
何とはなしに|nantowanashini|почему  то; что  то; ни с того; ни с сего|2|
何とも|nantomo|совсем; совершенно; с отриц. ничего; никак; нисколько|2|
何ともない|nantomonai|пустяки; пустое; ничего|2|
何となれば|nantonareba|книжное:  ибо; потому что|2|
何やら|naniyara|что  нибудь; что  то|2|
何かと|nanikato|как  нибудь; в том или ином виде|2|
何がさて|nanigasate|как бы то ни было|2|
何しろ|nanishiro|что ни говори; во всяком случае; как бы там ни было|2|
何せ|nanise|просторечное:  что ни говори; во всяком случае; как бы там ни было|2|
何にせよ|nanniseyo|просторечное:  что ни говори; во всяком случае; как бы там ни было|2|
何のその|nannosono|что из того; что...|2|
何なら|nannara|разговорное:  если хотите; если нужно|2|
何なりと|nannarito|любой; какой бы ни...|2|
何れ|izure|который; какой; так или иначе; в любом случае; когда  нибудь; позже|2|
何れ も|izure mo|всякий; любой|2|
何れ か|izure ka|какой  нибудь (из нескольких)|2|
何れにせよ|izureniseyo|в любом случае; так или иначе; рано или поздно|2|
何れにしても|izurenishitemo|в любом случае; так или иначе; рано или поздно|2|
夏|natsu|лето|2|
夏 の|natsu no|летний|2|
夏|KA|династия ся (китай; xxi  xvii вв.  до н. э.)|2|
家|ie|дом; здание; помещение; [свой]  дом; семья; родовое имя|2|
家|ya|дом; здание; помещение; [свой]  дом; семья; родовое имя|2|
家|uchi|дом; семья|2|
家 の|uchi no|мой; наш|2|
家々|ieie|дома (!4)|2|
科|KA|факультет; отделение (университета и т.п.); отделение (больницы); курс (наук); биол. семейство; воен. род войск|2|
科する|KASURU|налагать (напр. штраф)|2|
科|toga|вина; проступок; обвинение|2|
科|shina|просторечное:  кокетство|2|
歌|uta|песня; [японское]  стихотворение|2|
歌う|utau|петь|2|
画|e|картина|2|
画く|egaku|рисовать|2|
画する|KAKUSURU|чертить; разграничивать|2|
会う|au|встречать [ся]|2|
会|KAI|заседание; собрание; съезд; общество; ассоциация; кружок|2|
会する|KAISURU|собираться; встречаться; сливаться (о реках)|2|
会|E|будд. служба; богослужение|2|
回る|mawaru|кружиться; вертеться; вращаться; поворачиваться; двигаться по кругу; делать обход; обходить; объезжать; делать крюк; обогнуть  что  л.; заходить; заезжать  куда  л.; передаваться; переходить (из рук в руки); оказывать действие (о лекарстве и т.п.)|2|
回る を|mawaru wo|перевалить за...(о времени)|2|
回す|mawasu|вертеть; крутить; вращать; поворачивать; двигать по кругу; пускать по рукам; рассылать; пускать в оборот (в обращение); пересылать; переводить; передавать  [следующему]|2|
回り|mawari|вращение; окружность; круг; край; кромка; кайма; окрестность; периферия; объезд; обход; крюк; эффект (лекарства и т.п.); распространение (пламени)|2|
回りくどい|mawarikudoi|окольный; непрямой|2|
回し|mawashi|пояс (борца сумо); накидка; плащ|2|
海|umi|море|2|
絵|E|рисунок; картина|2|
外|soto|улица; открытый воздух|2|
外 に (で)|soto ni (de)|снаружи; на улице|2|
外 の|hoka no|другой|2|
