Japanese|Romaji|English|Utility|Type
出|de|coming out; appearance; one's origin; outlay; expenditure; sale; mand; crop; yield; beginning; start|1|
出でる|ideru|obsolete:  go out|1|
出し|dashi|broth; stock; pretext; excuse; cat's  paw; dummy; tool|1|
出し に する|dashi ni suru|use as a pretext|1|
出だす|idasu|obsolete:|1|
出だし|idashi|beginning; start|1|
出しゃばる|deshabaru|intrude; butt in|1|
出しゃばり|deshabari|intruder; busybody|1|
女|onna|woman|1|
女 の|onna no|women's; female|1|
女らしい|onnarashii|womanly; ladylike; feminine|1|
女っぽい|onnappoi|womanish; unmanly; effeminate|1|
女々しい|memeshii|womanish; unmanly; effeminate|1|
女だてらに|onnadaterani|though  [she is]  a woman|1|
小さい|chiisai|small; little; tiny; fine; petty; slight|1|
小さな|chiisana|small; little; tiny; fine; petty; slight|1|
小っちゃい|chitchai|informal:    small; little; tiny; fine; petty; slight|1|
小ざっぱり した|kozappari shita|neat; clean; tidy; dapper|1|
小ぢんまり と した|kodinmari to shita|smug; cosy|1|
小|SHOU|smallness in idioms:|1|
上|ue|upside; topside; after a verb  besides; moreover; in addition; now when...|1|
上|uwa|upside; topside; after a verb  besides; moreover; in addition; now when...|1|
上 に|ue ni|above; upwards|1|
上 に|uwa ni|above; upwards|1|
上 から|ue kara|from above|1|
上 から|uwa kara|from above|1|
上 の|ue no|upper; upward; higher; upper; superior; over; above; on; after; upon; when; in respect to; concerning|1|
上 の|uwa no|upper; upward; higher; upper; superior; over; above; on; after; upon; when; in respect to; concerning|1|
上|kami|upper part; top; head; upper stream; superiors; authorities|1|
上 の|kami no|upper|1|
上げる|ageru|raise; elevate; lift up; increase; give; offer; present; complete; finish; after a verb in '  te' form indicates  that the action is performed for  nd or 3 rd person; gain (profit), achieve (results); praise; be not too expensive; send (a child to school); hold (a ceremony), solemnize; show in; usher in; admit; throw up; vomit|1|
上がる|agaru|go up; climb; rise; advance; land; go ashore; come in; enter (a house); visit; be completed; come to an end; issue; accrue; be derived; cost (little), be sufficient; be anxious; be nervous; die (as of fish; reptiles; insects or plants); be offered (as of flowers etc.); honorific  eat; drink|1|
上がり|agari|rise; advance; ascent; income; proceeds; yield; completion; finish; death (of fish; reptiles; insects or plants); freshly brewed tea|1|
上る|noboru|go up; rise; ascend; climb; go up to the capital; be brought up (for discussion)|1|
上り|nobori|ascent; uphill road; going up; capital  bound (train etc.)|1|
上せる|noboseru|raise; bring up (a proposal etc.); enter; put on record|1|
上す|nobosu|raise; bring up (a proposal etc.); enter; put on record|1|
上|JOU|the first; the best in idioms:; first volume (of a book etc.); (inscription on a gift wrapper)|1|
上々|JOUJOU|the best|1|
お上さん|okamisan|col. one's wife; madam|1|
森|mori|forest; woods; shrine grove; surname|1|
人|hito|human being; person; people; character; personality; other people; others; somebody; someone|1|
人々|hitobito|people|1|
人々|NINNIN|each person  [separately]|1|
人となり|hitotonari|one's nature|1|
人らしい|hitorashii|worthy of a human being|1|
水|mizu|water; cold water|1|
水っぽい|mizuppoi|watery|1|
水|SUI|abbrev. Wednesday|1|
正しい|tadashii|correct; right; proper; righteous; just; legitimate; lawful|1|
正す|tadasu|correct; rectify; redress; ascertain; verify|1|
正に|masani|just; exactly; certainly; surely|1|
正しく|masashiku|surely; evidently; no doubt|1|
正|SEI|righteousness in idioms:; math. positive (number); philos. thesis|1|
生まれる|umareru|be born|1|
生まれ|umare|birth|1|
生まれながら に|umarenagara ni|by nature|1|
生まれながら の|umarenagara no|born; inborn; natural; innate|1|
生む|umu|bear; give birth; yield|1|
生み の|umi no|one's real (parent or child)|1|
生きる|ikiru|live; be alive|1|
生かす|ikasu|revive; vivify; give life; let live; make the most of  smth.|1|
生ける|ikeru|arrange flowers; keep alive; attrib. alive|1|
生き|iki|freshness (of a fish etc.); stet|1|
生える|haeru|grow (as of plants; also of  hair; nails; teeth; wings)|1|
生やす|hayasu|grow; wear (beard)|1|
生る|naru|bear fruits|1|
生らす|narasu|cause (a tree) to bear fruits|1|
生す|nasu|lit:  bear; give birth|1|
生す|musu|grow (as of moss etc.)|1|
生|SEI|life; living; I (man about himself in a letter)|1|
生 の|nama no|raw; fresh; crude; unprocessed; uncooked; unripe; inexperienced|1|
生 で|nama de|in hard cash; slang  with no condom|1|
生|nama|draft beer; impudence; cheek|1|
生 の|ki no|unprocessed; undiluted|1|
生|ki|undiluted sake|1|
生じる|SHOUJIRU|produce; cause; happen; arise; grow; inhabit|1|
生々しい|namanamashii|fresh (bloodstain); vivid (memory etc.)|1|
青い|aoi|blue; green; pale; pallid; unripe|1|
青|ao|blue color; green color; green light|1|
青ざめる|aozameru|turn pale|1|
青々|aoao|verdant; fresh and green|1|
青む|aomu|turn green|1|
青ばむ|aobamu|turn green|1|
石|ishi|stone; pebble; gem; jewel; stone in the game of|1|
石|koku|unit of capacity used for rice (180  liters; 10  to; 150  kg of rice); unit of capacity used for  lumber (0.278  cubic meters; 10  cubic shaku)|1|
赤い|akai|red|1|
赤|aka|red color; red; Red; Communist|1|
赤ちゃん|akachan|baby|1|
赤らむ|akaramu|turn red; blush|1|
赤らめる|akarameru|blush|1|
赤ばむ|akabamu|redden; become red|1|
赤 たる|akaaka taru|bright red|1|
先|saki|point; tip; end; first priority; precedence; lead; past; destination; objective; the future; sequel; rest; the other party|1|
先 に|saki ni|at the front; ahead; away; beforehand; in advance|1|
先 の|saki no|previous; prior; former|1|
先ず|mazu|first of all; to begin with; about; nearly; on the whole; anyway; anyhow; well; now|1|
先んじる|sakinjiru|precede; forestall; anticipate|1|
先|SEN|the future; priority; precedence; initiative; first move (in the game of go)|1|
先 の|SEN no|former; previous; old|1|
先々|sakizaki|the  [distant]  future; various places (in a trip)|1|
先々 から|sakizaki kara|beforehand|1|
千|SEN|thousand|1|
千|chi|arch:  thousand|1|
千々に|chidini|(be broken) into pieces; (grieve) deeply|1|
千々に|chiji|(be broken) into pieces; (grieve) deeply|1|
川|kawa|river|1|
早い|hayai|early; quick; prompt|1|
早める|hayameru|accelerate; quicken; advance|1|
早まる|hayamaru|be too hasty; be in a rush|1|
早や|haya|already; now|1|
お早う|ohayou|good morning!|1|
早々|SOUSOU|early; immediately|1|
早々|hayabaya|early; promptly|1|
草|kusa|grass; weed|1|
草する|SOUSURU|write; draft|1|
草々 の|SOUSOU no|hasty; hurried|1|
草々|SOUSOU|(closing words of a letter)|1|
足|ashi|foot; leg; paw; tentacle; flipper; leg of furniture; step; stride; walking; gait; pace; base; foot (of a mountain or vertical line); draft (of a ship); colloquial:  money; interest; stickiness (of rice etc.); numerous idioms with this word|1|
足りる|tariru|suffice; be enough|1|
足る|taru|suffice; be enough|1|
足りない|tarinai|not enough; insufficient; unworthy; below notice; informal:  dull; stupid|1|
足らず|tarazu|not enough; insufficient; unworthy; below notice; informal:  dull; stupid|1|
足す|tasu|add; supplement; do one's business|1|
足し|tashi|complement; supplement; aid|1|
お足|oashi|informal:  money; cash; coin|1|
足まめ|ashimame|good walker|1|
村|mura|village|1|
大きい|ookii|large; big; great|1|
大きな|ookina|large; big; great|1|
大いに|ooini|very; greatly; exceedingly; very; greatly; exceedingly|1|
大まか|oomaka|broadly; roughly; generously; openhandedly|1|
大まか|oomakani|broadly; roughly; generously; openhandedly|1|
大ざっぱ|oozappa|at a rough estimate|1|
大ざっぱ|oozappani|at a rough estimate|1|
大いなる|ooinaru|large; huge; great|1|
大らか な|ooraka na|placid; large  hearted|1|
大した|TAISHITA|big; serious; important; great|1|
大して|TAISHITE|[not]  very|1|
大|DAI|large  [size], bigness|1|
男|otoko|man; male; guy; fellow; figurative:  manliness; honor|1|
男らしい|otokorashii|manly; masculine|1|
男っぽい|otokoppoi|mannish; boyish; masculine|1|
竹|take|bamboo; = Bambuseae|1|
中|naka|inside; interior; middle; during; in the middle of  smth.|1|
中 で|naka de|in; inside; within; among|1|
中|uchi|inside; while; during|1|
中|CHUU|center; middle; average; second volume (of three)|1|
中る|ataru|hit (the mark); be poisoned; suffer from  smth.|1|
お中|onaka|colloquial:  belly; stomach|1|
中々|nakanaka|very; quite; fairly; with neg. far from; [not]  easily|1|
中でも|nakademo|especially; above all|1|
虫|mushi|insect; worm; bug (also appears in many idioms)|1|
町|machi|town; section of a city; city streets; city quarters|1|
町|CHOU|unit of length (109.09  m; 60  ken); unit of square measure (0.9917  hectares; 10  tan; 3000  tsubo)|1|
天|TEN|sky; heavens; providence; Heaven; [laws of]  nature; destiny; fate; deva; deity (in Hinduism and Buddhism); top edge (of a book)|1|
天|ame|obsolete:  heavens|1|
天|ama|obsolete:  heavens|1|
田|ta|rice field; paddy field|1|
土|tsuchi|earth; soil; ground|1|
土|DO|abbrev. Saturday|1|
二|NI|two|1|
二つ|futatsu|two|1|
日|hi|sun; day; date|1|
日々|hibi|daily; day after day|1|
日々|NICHINICHI|daily; day after day|1|
日|NICHI|abbrev. Sunday|1|
日ならず して|hinarazu shite|lit:  in a few days; before long; shortly|1|
入る|iru|enter; go in; set (as of the sun); attain|1|
入れる|ireru|insert; enter; put in; take in; let in; contain; accommodate; employ; hire; engage; make (tea; coffee); accept (an idea), follow (advice)|1|
入り|iri|entering; entrance; setting (of the sun); attendance; audience; capacity; income; beginning (of a season etc.)|1|
入|NYUU|ON (label on a switch)|1|
年|toshi|year; age; one's years|1|
年|NEN|year; term of service; apprenticeship|1|
年々|NENNEN|every year; annually|1|
白い|shiroi|white; gray (hair); blank; spotless; innocent|1|
白|shiro|white; white stone (in the game of go); innocence|1|
白っぽい|shiroppoi|whitish|1|
白む|shiramu|grow light (of sky)|1|
白ける|shirakeru|become chilled; become cheerless|1|
白々しい|shirajirashii|transparent; palpable (lie)|1|
八|HACHI|eight|1|
八つ|yatsu|eight|1|
八つ|yattsu|eight|1|
お八|oyatsu|colloquial:  afternoon snack|1|
百|HYAKU|hundred|1|
百|momo|eleg: hundred; great amount|1|
文|BUN|writing; literature; text; composition; style; the pen; civil affairs; gram. sentence|1|
文|MON|old monetary unit (1/1000  of a kan); unit of footwear size (24  mm; diameter of a mon coin)|1|
文|fumi|> obsolete:; letter; love letter; book; literature; education|1|
文|aya|design; pattern; figure of speech; rhetorical flourish|1|
本|HON|book|1|
本の|HONNO|slight; mere; just; only|1|
本|moto|basis; origin; roots (of a tree)|1|
名|na|me; reputation; fame; pretext; plea|1|
名うて|naute|lit:  notorious; famous|1|
木|ki|tree; wood; timber; lumber; [wooden]  clappers (in Japanese theater)|1|
木 の|ki no|wooden|1|
木|MOKU|abbrev. Thursday|1|
木々|kigi|every tree; trees|1|
目|me|eyes; eye; eyesight; look; glance; one's viewpoint; insight; judgent; cell; grain; sh; graduations (of a scale); intersection; point (; spots (of dice); tooth (of a saw); mom (unit of weight); nurous idiomatic anings|1|
目|MOKU|item; subdivision; biol. order; counter for stones or board  intersections in the game of go|1|
目する|MOKUSURU|lit:  treat; consider; regard as|1|
目ぼしい|meboshii|notable; conspicuous; valuable|1|
目まぐるしい|memagurushii|dizzy; giddy|1|
夕べ|yuube|evening|1|
夕|yuu|lit:   evening|1|
立つ|tatsu|stand; stand up; literal or figurative:  rise  [up]; be built; be erected; be established; leave for  someplace; start; be formed; be decided (as of plans etc.); be reasonable; make sense; hold water; begin life; establish oneself; math. give; make (an integral quotient); numerous bound meanings|1|
立つ を|tatsu wo|depart from  someplace|1|
立つ に|tatsu ni|act as (candidate; witness etc.)|1|
立つ が|tatsu ga|be proficient in  smth.|1|
立てる|tateru|stand  smth. up; make stand; set up; lay down; form; enact; build; construct; erect; establish; found; make (tea); shut (a sliding door); respect; look up to  smb.; be loyal; numerous bound meanings|1|
立ち|tachi|departure; start; passage of time; burning out (as of charcoal)|1|
立て|tate|leading part; leading actor|1|
立|rittoru|liter|1|
力|chikara|power; force (in various meanings); vigor; spirit; energy; efforts; endeavors; ability; proficiency; skill; assistance; aid; help|1|
力む|rikimu|strain oneself; bear down; boast; brag; bluff|1|
林|hayashi|woods; grove; forest; surname|1|
六|ROKU|six|1|
六つ|mutsu|six|1|
六つ|muttsu|six|1|
引く|hiku|draw; pull; drag; tug; lead (a horse; a person); draw; attract (attention etc.); draw (a line); lay on (gas; water etc.); give (a quotation; an example); retreat; withdraw; resign; retire; subside; abate; subtract; deduct; cut down (a price); look up in a dictionary; catch a cold; blunt the edge|2|
引き|hiki|patronage; pull; backing; discount; reduction in price|2|
引ける|hikeru|close; be over; break up; feel small|2|
引け|hike|close (of office; stock market etc.); defeat; reverse; loss|2|
羽|ha|feathers; plumage|2|
羽|hane|feather; plumage; wings; paddle; blade|2|
羽|wa|feather; plumage; wings; paddle; blade|2|
雲|kumo|cloud|2|
園|sono|garden|2|
遠い|tooi|distant; far; remote|2|
遠く に|tooku ni|far away|2|
遠く から|tooku kara|from a distance|2|
遠ざかる|toozakaru|drift apart; keep away|2|
遠ざける|toozakeru|keep at a distance; shun; abstain from|2|
黄|ki|yellow|2|
黄ばむ|kibamu|turn yellowish|2|
黄ばみ|kibami|yellow tint|2|
何|nani|what|2|
何|nan|what|2|
何の|nanno|what  [kind of...]; with neg. not at all; int. Oh!  [It's nothing!]|2|
何か|nanika|some; any; something|2|
何も|nanimo|>  with neg.; nothing; [not]  necessarily; why|2|
何より も|naniyori mo|above all; before everything|2|
何より の|naniyori no|best; nicest; most...|2|
何で|nande|colloquial:  why ?|2|
何でも|nandemo|any [thing], whatever  [you like]; by all means; at any cost; I hear; they say|2|
何でもない|nandemonai|trifling; of no account|2|
何でもない でも|nandemonai demo|be none of...|2|
何だか|nandaka|colloquial:  somehow; rather|2|
何ぞ|nanzo|colloquial:  some [thing], any [thing]; lit:  why  [on Earth]; how...!; what...!|2|
何と|nanto|what; exclamatory particle  what!; how!; before a phrase  by the way; I say|2|
何て|nante|colloquial:; what; exclamatory particle  what!; how!; before a phrase  by the way; I say|2|
何とか|nantoka|some [thing], any [thing]|2|
何とか して|nantoka shite|somehow; one way or another|2|
何とか なる|nantoka naru|come out all right|2|
何とか した|nantoka shita|acceptable; not bad|2|
何とかか(ん)とか して|nantokaka(n)toka shite|colloquial:  somehow or other; by hook or by crook|2|
何としても|nantoshitemo|by any means; at any risk|2|
何となく|nantonaku|somehow; for some reason or  other; without knowing why|2|
何とはなしに|nantohanashini|somehow; for some reason or  other; without knowing why|2|
何とはなしに|nantowanashini|somehow; for some reason or  other; without knowing why|2|
何とも|nantomo|quite; really; with neg. not a bit; not at all; nothing|2|
何ともない|nantomonai|there's nothing  [bad]|2|
何となれば|nantonareba|lit:  for; because|2|
何やら|naniyara|some; any|2|
何かと|nanikato|one way or another|2|
何がさて|nanigasate|at any rate; however|2|
何しろ|nanishiro|anyhow; at any rate; in any case|2|
何せ|nanise|colloquial:  anyhow; at any rate; in any case|2|
何にせよ|nanniseyo|colloquial:  anyhow; at any rate; in any case|2|
何のその|nannosono|so what if...; does it matter ?|2|
何なら|nannara|colloquial:  if you like; if necessary|2|
何なりと|nannarito|anything; whatever|2|
何れ|izure|which; anyway; at any rate; in any case; one of these days; later on|2|
何れ も|izure mo|any; all; every|2|
何れ か|izure ka|some|2|
何れにせよ|izureniseyo|either way; at all events; in any case|2|
何れにしても|izurenishitemo|either way; at all events; in any case|2|
夏|natsu|summer|2|
夏|KA|Xia dynasty (China; XXI  XVII BC)|2|
家|ie|house; home; dwelling; family; household; home; one's family name|2|
家|ya|house; home; dwelling; family; household; home; one's family name|2|
家|uchi|house; home; family|2|
家 の|uchi no|my; our|2|
家々|ieie|houses|2|
科|KA|faculty; department (of a university etc.); department (of a hospital); course of study; biol. family; milit. arm; branch of the army|2|
科する|KASURU|impose (a penalty), inflict (a punishment)|2|
科|toga|guilt; fault; blame; charge|2|
科|shina|informal:  coquetry|2|
歌|uta|song; [Japanese]  poem|2|
歌う|utau|sing|2|
画|e|pictur|2|
画く|egaku|draw; paint|2|
画する|KAKUSURU|mark off; plan|2|
会う|au|meet|2|
会|KAI|meeting; gathering; party; society; association; circle|2|
会する|KAISURU|meet; assemble; join|2|
会|E|Buddh. service; mass; ceremony|2|
回る|mawaru|turn round; go round; revolve; rotate; spin; turn about; make a round; patrol; circulate; make a detour; go round to...; pass (from hand to hand); take effect (as of a drug etc.)|2|
回る を|mawaru wo|be past...(as of time)|2|
回す|mawasu|turn; rotate; spin; turn about; send round; pass around; transfer; pass; forward|2|
回り|mawari|rotation; circumference; girth; fringe; edge; border; surroundings; vicinity; detour; efficacy; effect; spreading (of flames)|2|
回りくどい|mawarikudoi|roundabout; indirect; circuitous|2|
回し|mawashi|loincloth; belt (of a sumo wrestler); mantle; cape|2|
海|umi|sea|2|
絵|E|picture; drawing; painting|2|
外|soto|outside; exterior; open air|2|
外 に (で)|soto ni (de)|outside; outdoors|2|
外 の|soto no|outer; external; outdoor|2|
外 の|hoka no|another|2|
外 に (わ)|hoka ni (wa)|except|2|
外|hoka|another place; outside|2|
外 に (で)|hoka ni (de)|elsewhere|2|
外 から|hoka kara|from outside|2|
外れる|hazureru|come off; slip out; get out of the place; miss; go wide; fail; go wrong; be contrary to  smth., be against|2|
外れ|hazure|end; verge; extremity; miss; failure|2|
外れ の ある|hazure no aru|infallible|2|
外す|hazusu|take off; detach; unfasten; dislocate; let go; miss; dodge; slip away; avoid|2|
角|KAKU|corner; angle; square; squared timber; bishop (chess piece in shogi)|2|
角|kado|corner; edge; angle; angularity; harshness|2|
角|tsuno|horn; horns; tentacle; antenna|2|
角|sumi|corner; nook|2|
角ぐむ|tsunogumu|sprout|2|
楽 な|RAKU na|easy; light; comfortable|2|
楽 に|RAKU ni|easily; comfortably|2|
楽しい|tanoshii|pleasant; enjoyable; fun|2|
楽しげ な|tanoshige na|pleasant; enjoyable; fun|2|
楽しむ|tanoshimu|enjoy; amuse oneself|2|
楽しみ|tanoshimi|pleasure; enjoyment|2|
楽々|RAKURAKU|comfortable; in comfort; very easily; with great ease|2|
楽ちん で|rakuchin de|informal:  with pleasure; comfortably|2|
活|KATSU|resuscitation|2|
活きる|ikiru|live; be alive|2|
活かす|ikasu|revive; vivify; give life; let live; make the most of  smth.|2|
活ける|ikeru|arrange flowers; keep alive; attrib. alive|2|
間|aida|interval; gap; space; distance; period of time; relationship|2|
間 の|aida no|between; among; during; while|2|
間|ma|[vacant]  space; room; time; spare time; leisure; interval; pause; room; chamber; bound  luck; chance|2|
間 に|ma ni|while; during|2|
間もなく|mamonaku|soon; shortly|2|
間|KAN|interval; period in idioms:|2|
間|KEN|unit of length (1.81  m; 6  shaku)|2|
間々|mama|at times; now and then; occasionally|2|
丸|maru|circle; globe|2|
丸い|marui|round; circular; spherical|2|
丸っこい|marukkoi|rounded; roundish|2|
丸める|marumeru|make round; roll up; cajole; coax; wheedle|2|
丸み|marumi|roundness; rotundity|2|
丸み の ある|marumi no aru|rounded; roundish|2|
丸で|marude|completely; absolutely|2|
丸々 と|marumaru to|completely; absolutely|2|
丸ごと|marugoto|adverb  whole; entirely; bodily|2|
丸ぽちゃ の|marupocha no|inf. plump; buxom; chubby|2|
岩|iwa|rock; crag|2|
顔|kao|face; expression; look; face; prestige; honor|2|
帰る|kaeru|go back  [home]; return|2|
帰す|kaesu|send  smb. back; dismiss; discharge|2|
帰する|KISURU|arrive at; result in; impute; ascribe to; fall into|2|
お帰りなさい|okaerinasai|Welcome home!|2|
記す|shirusu|write down; record|2|
記する|KISURU|lit: write down; record|2|
記|KI|description; account; record; chronicle; annals|2|
弓|yumi|bow (for archery); bound  archery; music  bow|2|
牛|ushi|cow; bull; ox; cattle|2|
