Japanese|Romaji|English|Utility|Type
明日|ashita;asu;myounichi|tomorrow|1|
預かる|azukaru|receive on deposit; take charge of; be entrusted with  smth., keep; leave a match undecided; call off  [as a draw]; refrain from (saying etc.)|1|
預ける|azukeru|give temporarily; leave with  smb.; entrust; deposit; place in custody|1|
汗|ase|sweat; perspiration|1|
彼処|asoko;asuko|that place; over there|1|
遊ぶ|asobu|play; amuse oneself; enjoy oneself; make a pleasure trip; visit  smb.; loaf; make merry; have a spree; stay idle; be out of use; be jobless; study (abroad)|1|
与える|ataeru|give; present; grant; bestow; award; cause (pain); inflict (damage); set (a problem), impose (a task)|1|
温かい|atatakai|warm|1|
暖かい|atatakai|warm|1|
温める|atatameru|warm up; heat|1|
暖める|atatameru|warm up; heat|1|
頭|atama|head; mind; intellect; thoughts; way of thinking; leader; chief; head; top; upper end; beginning|1|
新しい|atarashii|new|1|
辺り|atari|vicinity; neighborhood; surroundings|1|
当たる|ataru|hit  [the mark], strike; be struck (by light; heat etc.); prove right; guess rightly; come true; succeed; make a hit; win in a lottery; correspond to; equal; fall on (a day of the week); be (a relative); apply; be applicable; face; confront; struggle; be poisoned by  smth.; feel out; sound out; look up; be assigned; take upon oneself; be located; lie (in some direction); attrib. this coming (date); (harshly) treat  smb.; be partly rotten (fruits); shave|1|
厚い|atsui|thick; kind; cordial|1|
暑い|atsui|hot; sultry|1|
熱い|atsui|hot (to the touch), heated; hot; passionate; madly in love|1|
扱う|atsukau|handle; manipulate; use; work; deal with  smth. or smb., treat; manage; receive (guests; customers)|1|
集まる|atsumaru|gather; meet; flock; be collected; focus; converge|1|
集める|atsumeru|collect; gather; assemble; concentrate; focus|1|
当てる|ateru|apply; lay; put; hit  [the mark], strike; guess; allot; appropriate; succeed; make a hit; expose (to rain; sun; wind etc.); call on (a pupil to answer); use (a kanji) phonetically; take one's place (on a cushion)|1|
後|ato|back; rear; after; later; next; following; remainder; rest; consequences; effect; future; descendant; successor; some time before; previous|1|
穴|ana|hole; aperture; slit; gap; pit; socket; hollow; cavity; cave; cavern; den; lair; place to hide; fig. deficit; loss; fig. fault; defect; shortcoming|1|
貴方|anata|you (polite 2 nd person pronoun)|1|
兄|ani|elder brother|1|
アニメ|anime|abbrev. animation|1|
姉|ane|older sister|1|
アパアト|apaato|apartment house; block of flats; apartment; flat|1|
浴びる|abiru|take (a bath; a shower); pour on oneself; be showered; be covered (with dust etc.); fig. expose oneself (to fire; criticism; accusation etc.)|1|
危ない|abunai|dangerous; risky; insecure; uncertain|1|
油|abura|oil|1|
甘い|amai|sweet; unsalted; insipid; soft; mild; lenient|1|
余り|amari|surplus; excess; remainder; residual|1|
余り に|amari ni|excessively; too much; with neg. not very; not much|1|
余る|amaru|remain over; be in excess; exceed|1|
網|ami|net; netting|1|
雨|ame|rain; rainfall; fig. shower (of bullets etc.)|1|
怪しい|ayashii|doubtful; questionable; suspicious; strange; mysterious; uncanny; clumsy; awkward; poor|1|
謝る|ayamaru|apologize|1|
洗う|arau|wash; cleanse; rinse; bathe; fig. inquire; probe|1|
争う|arasou|argue; dispute; contend; struggle; compete; contest|1|
改める|aratameru|alter; modify; change; revise; redo; correct; reform; rectify; renew; renovate; improve; examine; inspect|1|
現す|arawasu|reveal; display; indicate; show; express; represent; mean; stand for|1|
表す|arawasu|express|1|
現れる|arawareru|appear; come out; turn up; be displayed; be expressed; be found out; become known; be disclosed; come to light|1|
有り難う|arigatou|thank you|1|
有る|aru|be; exist; there is; be had; be found; be  somewhere; be sited; be located; be situated; happen; occur; take place; consist in  smth., be reduced to  smth.; number; measure; weigh; cover; have a magnitude of...; used in grammatic constructions like   [; ; ]|1|
歩く|aruku|walk; go on foot|1|
合わせる|awaseru|join; combine; unite; make fit; adjust; collate; strike (a fish)|1|
慌てる|awateru|lose one's head; be flurried; be confused; be in a hurry|1|
安心|anshin|peace of mind; |1|
安心 する|anshin suru|feel at ease; set at ease; |1|
安心 して|anshin shite|without anxiety|1|
安全|anzen|safety; security; |1|
安全 の|anzen no|safe; secure; |1|
安全 に|anzen ni|in safety|1|
安定|antei|equilibrium; balance; stability; steadiness; stabilization; |1|
安定 する|antei suru|be stabilized; be settled|1|
案内 する|annai suru|guide; lead; show around; invite; ask; notify|1|
案内|annai|a guide; invitation; acquaintance; knowledge; information; notice; |1|
案内 で ある|annai de aru|know|1|
胃|i|anat. stomach; |1|
胃 の|i no|gastric|1|
言う|iu|say; tell|1|
言う と|iu to|be called  smth., have a name|1|
家|ie|house; home; dwelling; family; household; home; one's family name|1|
如何|ikaga|=11 how ?in what way ?|1|
息|iki|breath; sigh; |1|
息 お する|iki o suru|breathe; respire|1|
勢い|ikioi|force; power; energy; vigor; momentum; impetus; trend; tendency; course of events; naturally; necessarily|1|
行く|iku|after a verb in ' te'  form indicates continuation of an action or change in progress; slang  come; have an orgasm|1|
幾つ|ikutsu|how many ?; how old ?|1|
幾ら|ikura|how much ?|1|
池|ike|pond; pool|1|
生け花|ikebana|ikebana; flower arrangement|1|
意見|iken|opinion; view; advice; admonition; |1|
意見 する|iken suru|give advice; admonish|1|
石|ishi|stone; pebble; gem; jewel; stone in the game of|1|
苛める|ijimeru|bully; torment; abuse; ill  treat|1|
医者|isha|[medical]  doctor|1|
以上|ijou|suffix  not less than; and up; beyond; above; the above [- mentioned]; conj  as; since; now that; as long as|1|
以上 です|ijou desu|that is all; that is the end; Concluded.|1|
異常|ijou|something unusual (abnormal); |1|
異常 な|ijou na|unusual; abnormal; extraordinary|1|
椅子|isu|chair|1|
急いで|isoide|hurriedly|1|
忙しい|isogashii|busy; occupied; engaged|1|
急ぐ|isogu|hurry up; hasten|1|
板|ita|board; plank; plate; sheet; the boards; stage|1|
痛い|itai|painful; sore; trying; hard to bear|1|
悪戯|itazura|mischief; prank; practical joke; fun; amusement; amour; lewdness; |1|
悪戯 する|itazura suru|do mischief; play; trifle|1|
悪戯 な|itazura na|prankish; mischievous; immoral|1|
悪戯 に|itazura ni|for fun; uselessly; in vain; for nothing; |1|
悪戯 に なる|itazura ni naru|come to naught; |1|
悪戯 と して|itazura to shite|bring to naught; spoil|1|
頂く|itadaku|humble  accept; receive; be given; be favored with; humble  eat; drink; be crowned; wear (a crown); be presided over by  smb.; after a verb in ' te'  form humbly indicates that the action is carried out for the speaker|1|
位置|ichi|position; location; place; |1|
位置 する|ichi suru|be located; be situated|1|
一|ichi|one|1|
一応|ichiou|after a fashion; more or less; roughly; briefly; for the time being; tentatively; just in case; once|1|
一月|ichigatsu|January  158017_|1|
一時|ichiji|one o'clock; a  [certain]  time; once; at one time; for a time; temporarily; provisionally; for the present|1|
一時 の|ichiji no|one  time; temporary; transient|1|
一度|ichido;hitotabi|once; one time; once; on one occasion; at once; at a time; one degree; one diopter|1|
一日|ichinichi;ichijitsu|one day; a day; all day  [long], the whole day; once; one day; the first  [day of a month] 544883_|1|
市場|ichiba|market; marketplace  129245_|1|
一番|ichiban|the most...; number one; first place; sports  game; round; bout   158014_|1|
一番 の|ichiban no|first|1|
何時|itsu|when ?, at what time ?; |1|
何時 か|itsu ka|some time; some day; |1|
何時 から|itsu kara|from what time ?, since when ?; |1|
何時 まで|itsu made|how long ?, till when ?; *=15 for ever; eternally; for any length of time; |1|
何時 で も|itsu de mo|[at]  any time; always; with neg. never  151303_|1|
五日|itsuka|five days; the fifth  [day of the month]|1|
一緒 に|issho ni|together; at the same time; all at once|1|
一緒 に なる|issho ni naru|join; get married|1|
一緒 に する|issho ni suru|put together; mix up; confound; confuse; unite (the two), mate  smb. with smb.; |1|
五つ|itsutsu|five|1|
一杯|ippai|a cup  [of a drink], cupful; glassful; col. a drink (shot; pull); full amount; a lot; suf. all; the whole of  smth.|1|
一杯 の|ippai no|full of  smth., filled up; |1|
一杯 に する|ippai ni suru|fill up; |1|
一杯 に なる|ippai ni naru|be filled up|1|
一般 の|ippan no|general; universal; ordinary; common; usual; average; |1|
一般 に|ippan ni|generally; usually; normally|1|
一方|ippou|one side; one hand; one way; the other side; the other party; *=08 on the one hand...; one the other hand...; after a verb|1|
一方 で ある|ippou de aru|only; do nothing but...   157925_|1|
何時も|itsumo|always; all the time; usually; as a rule; with neg. never; |1|
何時も の|itsumo no|usual; ordinary; habitual|1|
糸|ito|thread; yarn; filament|1|
田舎|inaka|countryside; rural area; province; one's birthplace; one's home|1|
田舎 の|inaka no|rural; rustic; provincial|1|
犬|inu|dog; fig. derog. spy|1|
稲|ine|rice plant; = Oryza sativa|1|
命|inochi|life; |1|
命 の ある|inochi no aru|alive; |1|
命 の ない|inochi no nai|dead|1|
祈り|inori|prayer|1|
祈る|inoru|pray; wish|1|
違反|ihan|violation; infringement; breach; |1|
違反 する|ihan suru|violate; infringe; act against (law; rules etc.); |1|
違反 して|ihan shite|against; in contravention of  smth.|1|
今|ima|now; |1|
今 の|ima no|current; present; |1|
今 に|ima ni|before long; even now; still; |1|
今 に も|ima ni mo|at any moment; at any minute; |1|
今 から|ima kara|from now on; |1|
今 まで|ima made|until now; so far; |1|
今 で も|ima de mo|even now|1|
意味|imi|meaning; sense; significance; purport; |1|
意味 する|imi suru|mean; signify; |1|
意味 の ある|imi no aru|significant; |1|
意味 の ない|imi no nai|meaningless; nonsensical|1|
芋|imo|sweet potato; white potato; yam|1|
妹|imouto|younger sister|1|
嫌 な|iya na|disagreeable; repulsive; |1|
嫌 に|iya ni|disagreeably; offensively; |1|
嫌 に なる|iya ni naru|become disgusted with  smth.|1|
入口|iriguchi|entrance; way in; door; gate|1|
居る|iru|be; exist; live; be (auxiliary verb)|1|
要る|iru|be necessary; be wanted; be required|1|
入れる|ireru|insert; enter; put in; take in; let in; contain; accommodate; employ; hire; engage; make (tea; coffee); accept (an idea), follow (advice)|1|
色|iro|color; hue; tint; shade; facial expression; look; sensuality; sexual passion; kind; sort; type|1|
色々|iroiro|various kinds of|1|
岩|iwa|rock; crag|1|
祝い|iwai|celebration; congratulation|1|
祝う|iwau|celebrate; commemorate; congratulate; felicitate|1|
インク|inku|ink|1|
印刷|insatsu|printing; presswork; |1|
印刷 する|insatsu suru|print; put into print; |1|
印刷 の|insatsu no|printing; typographical; *=37 be in print|1|
印象|inshou|impression|1|
ウィスキイ|wisukii|whisky|1|
上|ue|upside; topside; after a verb  besides; moreover; in addition; now when...|1|
上 に|ue ni|above; upwards; |1|
上 から|ue kara|from above; |1|
上 の|ue no|upper; upward; higher; upper; superior; over; above; on; after; upon; when; in respect to; concerning|1|
植える|ueru|plant; grow; raise; typeset|1|
伺う|ukagau|pay a visit; ask; inquire; hear; be told|1|
浮く|uku|float; rise to the surface; be cheered up; feel (one's tooth) loose; be set on edge; be left over; be saved|1|
受付|uketsuke|acceptance; receipt; reception  [desk], inquiry counter|1|
受け付ける|uketsukeru|receive; accept; take up (applications etc.)|1|
受け取る|uketoru|receive; get; accept; take; accept as the truth; believe|1|
受ける|ukeru|accept; receive; get; inherit; undergo; be subjected to  smth.; catch; parry; find public acceptance; face; front on|1|
動く|ugoku|move; shift; stir; act; work; operate; run; vary; change; be touched; be moved|1|
牛|ushi|cow; bull; ox; cattle|1|
失う|ushinau|lose; miss; be deprived of  smth.|1|
後[ろ]|ushiro|behind; back; rear|1|
薄い|usui|thin; weak; watery; light; pale; sparse|1|
歌|uta|song; [Japanese]  poem|1|
歌う|utau|sing|1|
疑う|utagau|doubt; distrust; be suspicious|1|
内|uchi|house; home; family; |1|
内 の|uchi no|my; our|1|
内 に|uchi ni|inside; among; between; within; while; during|1|
打つ|utsu|strike; hit; beat; knock; drive in (a nail etc.); strike (the hour); attack; kill; shoot; baseball  hit (the ball); forge (a sword etc.); clap (hands); touch (one's heart); cut off (one's head); send (a telegram); play (a game of go); gamble; perform (a play on stage); plow; till (a rice paddy); make (buckwheat noodles); braid (a cord); cast (a net); pay (money on a contract); water; sprinkle; give responses|1|
美しい|utsukushii|beautiful|1|
移す|utsusu|move; tranfer; shift; direct; divert; turn; transmit (a disease); infect|1|
映す|utsusu|reflect; project|1|
写す|utsusu|copy; transcribe; reproduce; take a picture; photograph; describe; depict; portray|1|
移る|utsuru|move (to a house etc.), transfer; drift; pass; change hands; spread; be contagious; catch (infection); change (as of time etc.)|1|
映る|utsuru|be reflected; be projected; be taken (photo); match; suit|1|
写る|utsuru|be taken; come out (photo)|1|
腕|ude|arm; fig. skill; ability|1|
馬|uma|horse|1|
旨い|umai|tasty; skillful; dexterous; good; successful; profitable|1|
上手い|umai|skillful; successful; lucky|1|
生まれ|umare|birth|1|
生まれる|umareru|be born|1|
海|umi|sea|1|
産む|umu|give birth; produce; bring up|1|
裏|ura|rear; back; other side; reverse; inside; hidden part; lining (of clothes)|1|
羨ましい|urayamashii|envious; enviable|1|
売る|uru|sell; betray|1|
煩い|urusai|noisy; too loud; annoying; irksome; shut up!, what a nuisance!|1|
上着|uwagi|coat; jacket; tunic; upper garment|1|
運転|unten|driving; operation; [good]  use of  smth., employment; |1|
運転 する|unten suru|drive (a vehicle), sit behind the wheel; operate (a machine), work; run; use; employ|1|
運動|undou|motion; movement; [physical]  exercise; motion; sports; [social or political]  movement; campaign; appeal; |1|
運動 する|undou suru|move; be in motion; take exercise; work out; conduct a campaign|1|
絵|e|picture; drawing; painting|1|
映画|eiga|film; movie; cinema|1|
影響|eikyou|influence; effect; |1|
影響 する|eikyou suru|influence; affect; |1|
影響 で|eikyou de|under the influence of  smth. or smb.|1|
英語|eigo|English  [language]; |1|
英語 で|eigo de|in English|1|
駅|eki|station|1|
液体|ekitai|liquid; fluid; |1|
液体 の|ekitai no|liquid|1|
エスカレエタア|esukareetaa|escalator|1|
枝|eda|branch; twig|1|
偉い|erai|great; grand; eminent; famous; inf. strong; serious; awful|1|
選ぶ|erabu|select; choose; elect|1|
得る|eru|gain; acquire; get; win; earn; can; be able to (do smth.)|1|
エレベエタア|erebeetaa|elevator; lift|1|
延期|enki|postponement; deferment; adjournment; prolongation; extension; |1|
延期 する|enki suru|postpone; put off; defer; adjourn; prolong; extend; |1|
延期 に なる|enki ni naru|be postponed (put off; deferred; adjourned)|1|
エンジン|enjin|engine|1|
演奏|ensou|[musical]  performance; |1|
演奏 する|ensou suru|perform; play|1|
延長|enchou|prolongation; extension; length; extent (of a road etc.)|1|
延長 する|enchou suru|prolong; extend|1|
鉛筆|enpitsu|[lead]  pencil|1|
遠慮|enryo|forethought; foresight; thinking ahead; reserve; deference; hist. house arrest|1|
遠慮 の ある|enryo no aru|far  seeing; forward  thinking; unreserved; free; bold  faced|1|
遠慮 する|enryo suru|feel diffident; refrain from  smth., withhold|1|
遠慮 なく|enryo naku|without reserve; using no ceremony; freely; |1|
美味しい|oishii|tasty; delicious|1|
追い付く|oitsuku|catch up with  smb., overtake (also fig.); with neg. be unable to keep up  with smth. or smb.|1|
オイル|oiru|oil (in various meanings)|1|
追う|ou|drive away; expel; pursue; chase|1|
往復|oufuku|going there and back; both ways; round trip; round  trip ticket; return ticket; correspondence; |1|
往復 する|oufuku suru|go and return; get there and back; correspond; exchange letters|1|
多い|ooi|many; much; numerous; frequent|1|
大きい|ookii|large; big; great|1|
多く の|ooku no|many; much|1|
多く|ooku|largely; mostly|1|
大勢|oozei|great number of people; crowd; |1|
大勢 の|oozei no|many; great number of... 141117_|1|
丘|oka|hill|1|
お母さん|okaasan|mother; mama|1|
可笑しい|okashii|funny; amusing; ridiculous; laughable; strange; odd; queer; improper; unbecoming; suspicious; doubtful|1|
起きる|okiru|get up; rise to one's feet; wake up; be up; occur; happen|1|
奥|oku|inner part; the back; the depths|1|
億|oku|hundred million|1|
置く|oku|put; place; set; leave behind; leave as is; keep; store; set up; establish; open; appoint; employ; set apart; leave intervals; do beforehand (after a verb in '  te' form)|1|
奥さん|okusan|[your; his]  wife|1|
臆病|okubyou|cowardice; timidity; |1|
臆病 な|okubyou na|cowardly; craven; timid; |1|
臆病 に なる|okubyou ni naru|grow timid; funk|1|
贈り物|okurimono|present; gift; |1|
贈り物 お する|okurimono o suru|give  smb. a present; make a gift|1|
送る|okuru|send; mail; dispatch; ship; see off; escort; spend (time); add kana ending to a kanji|1|
贈る|okuru|present (a gift); bestow; confer; award|1|
後れる|okureru|be late; be delayed; lag behind|1|
遅れる|okureru|be late; be delayed; lag behind|1|
起こす|okosu|raise up; set upright; wake up; establish; set up; start; give rise to; produce; generate|1|
行う|okonau|do; perform; carry out|1|
起こる|okoru|occur; happen; take place|1|
怒る|okoru|get angry; be angry|1|
納める|osameru|make payment; present (to a shrine or temple); deliver; supply; put away; store; accept|1|
惜しい|oshii|regrettable; pitiful; precious; valuable; too good for  smth.|1|
(お)祖父さん|ojiisan|grandfather|1|
教える|oshieru|teach; educate; inform; tell; show|1|
お辞儀|ojigi|bow; |1|
お辞儀 する|ojigi suru|bow; make a bow|1|
伯父さん|ojisan|uncle (polite or intimate addressing)|1|
押す|osu|push; press; compress|1|
遅い|osoi|slow; tardy; late; delayed|1|
恐らく|osoraku|probably; possibly|1|
恐れ|osore|fear; dread; danger; risk|1|
恐れる|osoreru|fear; be afraid|1|
恐ろしい|osoroshii|fearful; terrible; awful|1|
穏やか な|odayaka na|calm; quiet; peaceful; tranquil; mild; moderate; reasonable; |1|
穏やか に|odayaka ni|quietly; calmly; in peace; moderately; reasonably|1|
穏やか に なる|odayaka ni naru|calm down; become quiet|1|
落ち着く|ochitsuku|calm (settle; quiet; cool) down; become composed; subside; settle in; take up one's residence; be steady; settle on  smth., decide; match; harmonize with  smth.|1|
落ちる|ochiru|fall; drop; come down; collapse; crumble; cave in; go down; become less; be inferior; fall short of  smth.; come off; be omitted; be missing; fall (in an examination etc.); fall into (one's hands); (of sun and moon) sink; set; (of water) flow into; (of wind) drop; abate; go down; (of fish) go downstream; (of stains etc.) come off; be removed; (of a fort etc.) fall; be captured; fall unconscious; die; obs. escape (from the capital)|1|
音|oto|sound; noise; bound  fame|1|
音 が する|oto ga suru|make sound|1|
お父さん|otousan|father; daddy|1|
弟|otouto;ototo|younger brother|1|
男|otoko|man; male; guy; fellow; fig. manliness; honor|1|
男の子|otokonoko|boy|1|
落とす|otosu|drop; throw down; let fall; remove; take away; rub off; shave off; omit; miss; pass over; lessen; decrease; deteriorate; depreciate; lose; drop; fumble; miss (a ball); scatter; spend (money); bid in; knock down (an article); exorcise; drive away (an evil spirit); take; capture (a fort etc.); entrap; ensnare; fail; flunk; obs. let escape; end a story with a punch|1|
一昨日|ototoi;issakujitsu|day before yesterday|1|
一昨年|ototoshi;issakunen|year before last|1|
大人|otona|adult; |1|
大人 の|otona no|grown  up; adult; |1|
大人 に なる|otona ni naru|grow up; come of age|1|
大人しい|otonashii|gentle; mild; quiet; meek; lamblike; obedient; docile; well  behaved; tame; quiet; sober (as of colors)   109254_|1|
踊る|odoru|dance|1|
驚く|odoroku|be surprised (astonished; amazed); wonder; marvel; admire; be frightened (startled)|1|
お腹|onaka|col. belly; stomach|1|
同じ|onaji|same; similar; identical|1|
(お)祖母さん|obaasan|grandma; old woman|1|
お早う御座居ます|ohayougozaimasu|good morning!|1|
覚える|oboeru|remember; memorize; learn; acquire; feel; experience|1|
御目出度う(御座居7ます)|omedetougozaimasu|Congratulations!|1|
主 な[る]|omo na[ru]|main; principal; foremost|1|
重い|omoi|heavy; weighty; massive; serious; important; severe|1|
思い出す|omoidasu|recall; recollect; remember|1|
思う|omou|think; suppose; believe; wish; feel like; expect; intend; imagine; love; care for|1|
面白い|omoshiroi|interesting; amusing; funny; pleasant; enjoyable; promising|1|
玩具|omocha;gangu|toy; plaything; |1|
玩具 に する|omocha;gangu ni suru|make a plaything; play with  smth.|1|
表|omote|right side; face; front; head; surface; outward appearance; exterior; lobby; guest room; mat covers; baseball  first half of an inning|1|
表 に (で)|omote ni (de)|outdoors; on the street|1|
主に|omoni|mainly; chiefly; mostly|1|
親|oya|parents; father  [and mother]; fig. creator of  smth.; card dealer; banker|1|
お休みなさい|oyasuminasai|Good night|1|
泳ぐ|oyogu|swim|1|
織物|orimono|textile; fabric|1|
下りる|oriru|go (come; step; climb; get) down; descend; fall (as of a curtain etc.); swoop; drop down; alight; land (as of birds; aircrafts etc.); be discharged (from the body); abort; be granted; be issued (as of licenses etc.)|1|
降りる|oriru|get off (a vehicle); go down; come down; descend; fall (as of dew; frost etc.); give up  smth.; resign; drop out (of a game; program etc.)|1|
折る|oru|break off; fracture; split; fold; bend; give in; yield|1|
下ろす|orosu|bring (take; bring; pull; let) down; drop; unload; lower; get (a boat) on the water; withdraw (one's savings); wear for the first time; have an abortion  [performed]; grate (vegetables); slice (fish) into pieces; invoke (a spirit); math. bring down (in multiplication); borrow (in subtraction); Shinto  bring back (one's former offering to deites)|1|
降ろす|orosu|set (a passenger) down; drop; unload; discharge; bring down; take down; drop; deprive  smb. from  smth., depose; demote|1|
終[わ]り|owari|end; conclusion; cessation|1|
終[わ]る|owaru|end; finish; be over|1|
音楽|ongaku|music; |1|
音楽 の|ongaku no|musical|1|
温泉|onsen|hot spring; spa; hot  spring resort|1|
温度|ondo|temperature|1|
女|onna|woman; |1|
女 の|onna no|women's; female|1|
女の子|onnanoko|girl|1|
貝|kai|shellfish; shell|1|
海岸|kaigan|coast; beach; shore; |1|
海岸 の|kaigan no|costal; seaside; |1|
海岸 に|kaigan ni|by the sea; at the seaside|1|
会議|kaigi|meeting; conference; council; convention; congress; sitting; session|1|
会計|kaikei|accounts; accounting; finance; bill; check; payment|1|
解決|kaiketsu|solution; settlement; |1|
解決 する|kaiketsu suru|solve (a question), settle (a problem), resolve (an issue); be solved; be settled|1|
外国|gaikoku|foreign country; |1|
外国 の|gaikoku no|foreign; |1|
外国 と|gaikoku to|abroad|1|
会社|kaisha|company; firm; corporation|1|
外人|gaijin|foreigner; alien|1|
階段|kaidan|stairs; stairway|1|
回復|kaifuku|recovery; restoration; |1|
回復 する|kaifuku suru|recover|1|
買物|kaimono|shopping; buying; purchase; purchase; purchased article; good bargain (purchase)|1|
買物 お する|kaimono o suru|do one's shopping; make purchases|1|
会話|kaiwa|conversation; talk; |1|
会話 する|kaiwa suru|talk; have a conversation|1|
買う|kau|buy; purchase; incur; evoke; col. appreciate|1|
返す|kaesu|return; give back; send back; repay; reply; turn over; dismiss; discharge|1|
換える|kaeru|exchange; interchange; convert; barter|1|
帰る|kaeru|go back  [home]; return|1|
替える|kaeru|exchange; replace; convert; barter|1|
代える|kaeru|replace  smth. with another; substitute|1|
変える|kaeru|change; alter; convert; transform; revise; amend|1|
返る|kaeru|return to (former state); be given back|1|
顔|kao|face; expression; look; face; prestige; honor|1|
抱える|kakaeru|hold in one's arms; employ; hire; have (a family) to feed|1|
科学|kagaku|science; |1|
科学 する|kagaku suru|think scientifically|1|
鏡|kagami|mirror|1|
輝く|kagayaku|glitter; sparkle; shine; bright; brilliant; glorious|1|
掛かる|kakaru|hang  on smth., be suspended; be set over; lean against  smth.; catch; be caught; be trapped (also fig.); start; set about  smth., get to (work etc.); require; cost; need; take; weigh; anchor; lie at anchor; be built (as of a bridge etc.), be laid (as of a railway etc.); work; function; catch; start (as of an engine etc.); splash; cover (as of water; dust etc.); attack; fall on  smb.; fig. fall on  smb.  (as of suspicion; expenses; duties etc.); depend on  smb. or smth.; oppose; confront; be up against; consult (a doctor); approach; come near (a place); appear; be on (at a theater)|1|
鍵|kagi|literal or fig. key|1|
限り|kagiri|limits; bound; after a verb  as much as possible; postpos. only|1|
限り の ある|kagiri no aru|limited; restricted; finite; |1|
限り の ない|kagiri no nai|unlimited; boundless|1|
限る|kagiru|limit; restrict; confine; fig. be the best; be the only way|1|
書く|kaku|write; draw  [lines]; paint|1|
家具|kagu|[household]  furniture|1|
学者|gakusha|scholar; scientist; learned man|1|
学習|gakushuu|studies; learning; |1|
学習 する|gakushuu suru|study; learn|1|
隠す|kakusu|hide; conceal|1|
学生|gakusei|student|1|
隠れる|kakureru|hide oneself; disappear; retire from the world; fig. pass away|1|
陰|kage|shade; back side; reverse side|1|
陰 で|kage de|secretly; behind one's back|1|
影|kage|shadow; silhouette; reflection; image|1|
掛ける|kakeru|hang  [up], suspend; hook; put up (against smth.); put  smth. over  smth.; cover; put on (a shawl; glasses); sprinkle; dash; pour  on smth.; take a seat; sit down; weigh; spend (money or time); lay (a bridge etc.) across; switch on; turn on; start (an engine); ring up; call; math. multiply; impose; levy (a tax etc.); cause (a trouble); pose (a riddle); mate (animals); cross (plants)|1|
過去|kako|the past; bygone days; gram. past tense|1|
過去 の|kako no|past; bygone|1|
籠|kago|basket; hamper; crate; cage; coop|1|
囲む|kakomu|surround; encircle; enclose; besiege|1|
傘|kasa|umbrella|1|
重ねる|kasaneru|stack in layers; pile up; heap up; wear one garment over another; repeat; add; continue|1|
飾る|kazaru|decorate; ornament; adorn; embellish; embroider; whitewash; exhibit; display|1|
火山|kazan|volcano; |1|
火山 の|kazan no|volcanic|1|
火事|kaji|fire; conflagration|1|
貸す|kasu|lend; loan; give credit; rent; hire out|1|
数|kazu|number|1|
ガス|gasu|gas (Dutch  gas)|1|
風|kaze|wind; breeze|1|
風邪|kaze;fuuja|[common]  cold|1|
数える|kazoeru|count; reckon; calculate; enumerate|1|
家族|kazoku|family; member [s]  of one's family|1|
ガソリン|gasorin|gasoline; petrol|1|
型|kata|type; form; model; pattern; mold; matrix; technique; (in martial arts); tradition; custom|1|
肩|kata|shoulder [s]|1|
方|kata|direction; polite  person|1|
