内科 |ないか |[1] internal medicine [2] department of internal medicine |N/A
農村 |のうそん |[1] agricultural community; farm village [2] rural |N/A
濃度 |のうど |[1] concentration; density [2] cardinality |N/A
農薬 |のうやく |agricultural chemical (i.e. pesticide, herbicide, fungicide, etc.); agrochemical; agrichemical |N/A
能率 |のうりつ |[1] efficiency [2] moment |N/A
退ける |のける |[1] to put something out of the way; to move (something, someone) aside [2] to remove; to exclude; to take away [3] to set aside; to keep apart |N/A
鋸 |のこぎり |[1] saw [2] musical saw [3] Nokogiri |N/A
残らず |のこらず |all; entirely; completely; without exception |N/A
覗く |のぞく |[1] to peek (through a keyhole, gap, etc.) [2] to look down into (a ravine, etc.) [3] to peek into (a shop, bookstore, etc.) |N/A
上り |のぼり |[1] ascent; climbing; ascending (path); climb [2] up-train; train heading toward the starting point of its route [3] upbound (esp. toward Tokyo) |N/A
乗り換え |のりかえ |[1] transfer (trains, buses, etc.); change; connection [2] switch (to another ideology, party, system, method, etc.); change; conversion [3] switching (stock) |N/A
載る |のる |[1] to be placed on; to be set on; to be piled on; to be loaded on [2] to appear (in print); to be mentioned; to be recorded; to be reported; to be given |N/A
|のろのろ |slowly; sluggishly |N/A
呑気 |のんき |easy; easygoing; carefree; happy-go-lucky; optimistic; leisurely; careless; thoughtless |N/A 
