まあまあ |[1] so-so; passable; not (so) bad; reasonable [2] now, now; there, there; there now [3] my, my; oh my!; dear me! |5000
見舞う |みまう |[1] to visit and comfort or console; to go to see (e.g. someone in hospital); to ask after (e.g. someone's health); to inquire after [2] to attack; to hit; to strike; to deal (a punch) |N/A
未満 |みまん |less than; under; below |N/A
苗字 |みょうじ |[1] surname; family name; last name [2] Myouji |N/A
ミリ |[1] milli-; 10^-3 [2] millimetre; millimeter |N/A
診る |みる |to examine (medically); to have a look at; to check (a patient's pulse) |N/A
民間 |みんかん |[1] private; non-governmental; non-official; civilian; civil [2] folk; popular |2717
民謡 |みんよう |folk song; popular song |N/A
剥く |むく |[1] to peel; to skin; to pare; to hull; to strip [2] to bare (teeth, fangs); to open wide (eyes) |N/A
無限 |むげん |[1] infinity; infinitude; eternity [2] infinite; limitless |N/A
蒸し暑い |むしあつい |humid; sultry |N/A
無地 |むじ |plain; unfigured; patternless; solid (color) |N/A
矛盾 |むじゅん |contradiction; inconsistency |3370
蒸す |むす |[1] to steam (food, towel, etc.) [2] to be hot and humid; to be sultry |N/A
群れ |むれ |group; crowd; flock; herd; bevy; school; swarm; cluster (e.g. of stars); clump; pack (e.g. of dogs) |4406
姪 |めい |niece |N/A
名作 |めいさく |masterpiece; masterwork |N/A
名刺 |めいし |business card |N/A
名詞 |めいし |noun |N/A
名所 |めいしょ |famous place; noted place; place of (scenic or historical) interest; sights (to see) |N/A
迷信 |めいしん |superstition; superstitious belief |N/A
命ずる |めいずる |[1] to order; to command [2] to appoint |2252
名物 |めいぶつ |famous product; special product; speciality; specialty |N/A
銘々 |めいめい |each; individual |N/A
目上 |めうえ |superior; superiors; senior |N/A
恵まれる |めぐまれる |to be blessed with; to be rich in; to abound in |2244
巡る |めぐる |[1] to go around; to make a circle around [2] to surround; to circle; to enclose [3] to come around (of a season, anniversary, turn, etc.); to return; to repeat; to circulate (of blood, money, etc.) |2473
目指す |めざす |[1] to aim at (for, to do, to become); to try for; to have an eye on [2] to go toward; to head for |856
目覚まし |めざまし |[1] alarm clock [2] waking up; keeping oneself awake [3] early-morning treat (traditionally given to children in some parts of Japan); wake-up sweet |N/A
目下 |めした |subordinate; subordinates; inferior; inferiors; junior |N/A
目印 |めじるし |[1] mark (for quick identification or recognition); sign [2] landmark; guide [3] trademark |N/A
目立つ |めだつ |to be conspicuous; to stand out |1690
滅茶苦茶 |めちゃくちゃ |[1] absurd; unreasonable; nonsensical; preposterous; incoherent [2] extreme; senseless; reckless; wanton [3] disorderly; chaotic; confused; messy |N/A
めっきり |remarkably; noticeably; considerably; appreciably |N/A
目出度い |めでたい |[1] happy; auspicious; propitious; joyous [2] naive |N/A
メニュー |[1] menu [2] schedule; program; programme; course; services [3] menu |2016
眩暈 |めまい |dizziness; giddiness; vertigo |N/A
目安 |めやす |[1] criterion; standard; yardstick; reference; aim [2] rough estimate; approximation [3] Meyasu |3894
面積 |めんせき |area (measurement); square measure; size (of land); floor space |3505
面接 |めんせつ |interview (e.g. for a job) |1984
面倒くさい |めんどくさい |bothersome; tiresome; bother to do |N/A
メーター |[1] meter; gauge [2] metre (unit of length); meter |N/A
儲かる |もうかる |to be profitable; to yield a profit |4712
儲ける |もうける |[1] to profit; to get; to earn; to gain [2] to have (bear, beget) a child [3] to have a stroke of luck |4502
申し訳ない |もうしわけない |[1] I'm sorry; (it's) inexcusable; I feel regretful; I feel guilty [2] thank you very much (for help, etc.) |N/A
木材 |もくざい |[1] lumber; timber; wood [2] Mokuzai |N/A
目次 |もくじ |table of contents; contents |N/A
潜る |もぐる |[1] to dive (into or under water) [2] to get under; to get into; to get in; to creep into; to crawl under; to bury oneself; to burrow into; to dig oneself into; to snuggle under [3] to hide oneself (esp. from the government); to conceal oneself; to go underground |3386
若しかしたら |もしかしたら |perhaps; maybe; perchance; by some chance; by any chance |N/A
若しかすると |もしかすると |perhaps; possibly; maybe; by some chance |N/A
凭れる |もたれる |[1] to lean against; to lean on; to recline on [2] to lie heavy (on the stomach); to be uneasily digested |N/A
モダン |[1] modern [2] lug arm tips (on glasses); temple tips |N/A
餅 |もち |mochi; small rice cake made from glutinous rice |4616
勿体ない |もったいない |[1] wasteful; a waste [2] too good; more than one deserves; unworthy of [3] impious; profane; sacrilegious |3271
モデル |[1] model; dummy; mock-up [2] model (profession); fashion model [3] model (of a vehicle, machine, etc.); version |2116
元々 |もともと |[1] originally; from the start; from the beginning; from the outset; by nature [2] none the worse (for); (coming out) even; in the same position (as before) |711
物置 |ものおき |storage room; storeroom; lumber room |N/A
物語る |ものがたる |[1] to tell (a story); to give an account of (an event, experience, etc.); to relate; to recount [2] to tell of; to show; to indicate; to prove; to attest to |N/A
物差し |ものさし |ruler; measure |N/A
物凄い |ものすごい |[1] terrific; staggering; tremendous; incredible; extreme [2] frightful; ghastly; horrific; terrible; awful; gruesome; eerie |696
モノレール |monorail |N/A
揉む |もむ |[1] to rub; to crumple [2] to massage [3] to argue; to have a heated discussion |N/A
燃やす |もやす |[1] to burn [2] to burn with (emotion, feeling); to be fired up |3816
催し |もよおし |event; festivities; function; social gathering; auspices; opening; holding (a meeting) |N/A
盛る |もる |[1] to serve (in a bowl, on a plate, etc.); to dish out; to dish up; to fill (a bowl) with [2] to pile up; to heap up; to fill up; to stack up [3] to administer (medicine, poison); to dose out; to prescribe |4303
問答 |もんどう |questions and answers; dialogue |N/A
モーター |motor |N/A 
