タイア |tire; tyre |N/A
忽ち |たちまち |[1] in an instant; in a moment; immediately; right away; at once [2] suddenly; all of a sudden; all at once |3471
建つ |たつ |to be erected; to be built |N/A
例える |たとえる |to compare (something) to; to liken; to speak figuratively; to use a simile; to use a metaphor |4974
頼もしい |たのもしい |[1] reliable; dependable; trustworthy; reassuring [2] hopeful; promising |N/A
足袋 |たび |tabi; traditional split-toe socks |N/A
溜まる |たまる |to collect; to gather; to save; to accumulate; to pile up |2348
ため息 |ためいき |sigh |3642
躊躇う |ためらう |to hesitate; to waver |N/A
溜める |ためる |[1] to amass; to accumulate; to store [2] to leave unpaid |2569
足る |たる |[1] to be sufficient; to be enough [2] to be worth doing; to be worthy of; to deserve [3] to do (the job); to serve; to answer |3680
短期 |たんき |short-term |N/A
炭鉱 |たんこう |[1] coal mine; (coal) pit; colliery [2] coal-mine shaft |N/A
短所 |たんしょ |defect; demerit; weak point; disadvantage |N/A
箪笥 |たんす |[1] chest of drawers; bureau; cabinet; tansu; dresser [2] Tansu |N/A
淡水 |たんすい |fresh water (i.e. not salt water) |N/A
単数 |たんすう |[1] single; one [2] singular (number) |N/A
短編 |たんぺん |short (e.g. story, film) |N/A
田んぼ |たんぼ |paddy field; farm |2989
ダイアグラム |diagram |N/A
大工 |だいく |carpenter |N/A
大小 |だいしょう |[1] size [2] large and small (sizes); various sizes [3] daishō (matched pair of long and short swords) |N/A
題名 |だいめい |title; caption; heading |4800
代名詞 |だいめいし |[1] pronoun [2] synonym; classic example; pattern; byword; representative |N/A
ダイヤモンド |[1] diamond [2] diamond; infield [3] diamonds (suit) |N/A
ダイヤル |dial (e.g. telephone, radio, clock, gauge) |N/A
楕円 |だえん |ellipse; oval |N/A
脱線 |だっせん |[1] derailment [2] digression; deviation |N/A
妥当 |だとう |valid; proper; right; appropriate; reasonable |N/A
ダブル |[1] double [2] double bed; hotel room with a double bed [3] double-breasted |N/A
騙す |だます |[1] to trick; to cheat; to deceive; to swindle; to dupe [2] to coax; to wheedle; to soothe; to calm |3319
ダム |[1] dam [2] Ad Dam (Saudi Arabia); Damme (Belgium); Damm |N/A
だらし無い |だらしない |[1] slovenly (appearance, work, etc.); sloppy; untidy; undisciplined; careless; loose; slack [2] weak; feeble; weak-willed; cowardly; gutless |N/A
段階 |だんかい |[1] stage; step; phase [2] level; rank; grade; gradation [3] order |1040
断水 |だんすい |suspension of water supply; water outage |N/A
団地 |だんち |multi-unit apartments; apartment complex |3373
誓う |ちかう |to swear; to vow; to take an oath; to pledge |4833
地下水 |ちかすい |underground water |N/A
近づける |ちかづける |[1] to bring near; to bring close; to let go near [2] to associate with; to bring (people) together; to let come near (of a person) |4487
近寄る |ちかよる |to approach; to draw near |N/A
力強い |ちからづよい |[1] powerful; strong; forceful; vigorous [2] reassuring; encouraging |4837
千切る |ちぎる |[1] to tear to pieces; to tear to shreds; to tear up [2] to pick (e.g. fruit); to pluck; to tear off [3] to do ... heavily; to do ... heartily; to do ... vigorously |N/A
地質 |ちしつ |geological features |N/A
知人 |ちじん |friend; acquaintance |3162
地帯 |ちたい |zone; area; belt; region |N/A
縮む |ちぢむ |to shrink; to contract; to diminish (in size) |N/A
縮める |ちぢめる |[1] to shorten; to reduce; to condense; to shrink [2] to crumple (fabric); to wrinkle [3] to make (one's body) smaller; to draw in (one's legs); to duck (one's head) |N/A
縮れる |ちぢれる |to be wavy; to be curled; to be frizzled |N/A
チップ |[1] tip; gratuity [2] foul tip [3] tip (of a ballpoint pen) |N/A
地点 |ちてん |spot; point; place; position |N/A
地名 |ちめい |place name; toponym |3463
茶色い |ちゃいろい |light brown; tawny |N/A
着々 |ちゃくちゃく |steadily |N/A
中間 |ちゅうかん |[1] middle; midway; halfway; centre; center [2] middle position; moderate position; neutral position; middle-of-the-road position [3] interim; intermediary; intermediate; midterm |4868
抽象 |ちゅうしょう |abstraction |N/A
中旬 |ちゅうじゅん |middle ten days of a month; 11th to 20th day of a month |N/A
中性 |ちゅうせい |[1] neutrality (incl. chemical, electrical, etc.); indifference [2] sexlessness; androgyny; androgyne; neuter [3] neuter gender |N/A
中世 |ちゅうせい |Middle Ages (in Japan esp. the Kamakura and Muromachi periods); medieval times; mediaeval times |4499
中途 |ちゅうと |halfway; midway; partway; mid-course |N/A
中年 |ちゅうねん |middle-age; middle age; midlife; one's middle years |N/A
超過 |ちょうか |excess; surplus; exceeding (a limit, estimate, etc.); going over |N/A
彫刻 |ちょうこく |carving; engraving; sculpture |4661
長所 |ちょうしょ |[1] strong point; merit; virtue; advantage [2] Chousho |N/A
長女 |ちょうじょ |eldest daughter; first-born daughter |4300
調整 |ちょうせい |adjustment; regulation; coordination; reconciliation; tuning; fixing; tailoring |1994
調節 |ちょうせつ |regulation; adjustment; control |4880
長短 |ちょうたん |[1] (relative) length [2] advantages and disadvantages; pluses and minuses; strong and weak points; merits and demerits |N/A
頂点 |ちょうてん |[1] vertex; apex [2] top (e.g. of a mountain); summit; peak [3] top (of a profession, field, etc.); summit |N/A
長男 |ちょうなん |eldest son (may be the only son); first-born son |1863
長方形 |ちょうほうけい |rectangle; oblong |N/A
調味料 |ちょうみりょう |seasoning; flavoring; flavouring; condiment |4951
直後 |ちょくご |immediately following |3511
直線 |ちょくせん |straight line |N/A
直前 |ちょくぜん |[1] just before; just prior to [2] right in front of; just in front of |3054
直流 |ちょくりゅう |direct current; DC |N/A
貯蔵 |ちょぞう |storage; preservation |N/A
直角 |ちょっかく |right angle |N/A
直径 |ちょっけい |diameter |4398
チョーク |chalk |N/A
散らかす |ちらかす |to scatter around; to leave untidy; to make a mess |N/A
散らかる |ちらかる |to be in disorder; to lie scattered around |N/A
散らす |ちらす |[1] to scatter; to cause a shower of [2] to disperse; to distribute; to spread [3] to resolve (a symptom, condition, etc.); to relieve; to get rid of; to cure |N/A
ちり紙 |ちりがみ |tissue paper; toilet paper |N/A
散る |ちる |[1] to fall (e.g. blossoms, leaves) [2] to scatter; to be dispersed [3] to disappear; to dissolve; to break up |4541
追加 |ついか |addition; supplement; appending; appendix |2889
序で |ついで |[1] opportunity; occasion; chance [2] order; sequence [3] successor |2770
通貨 |つうか |currency |N/A
通勤 |つうきん |commuting to work |3744
通ずる |つうずる |[1] to be open (to traffic); to lead to; to communicate (with) [2] to flow (liquid, current); to pass; to get through to [3] to be understood; to be comprehended |N/A
通知 |つうち |[1] notice; notification; report; posting [2] notification (on a smartphone, PC, etc.) |3409
通帳 |つうちょう |passbook; bankbook |N/A
通訳 |つうやく |[1] interpretation (i.e. oral translation) [2] interpreter |3828
通用 |つうよう |[1] (common) use (of a language, currency, etc.); current use; circulation; currency; validity (e.g. of a ticket) [2] to be accepted (e.g. of a way of thinking); to work (of an excuse, trick, etc.); to hold true (e.g. of a theory); to apply; to be valid; to pass (for); to do well; to get by [3] going in and out; entrance and exit |4009
通路 |つうろ |passage; pathway; roadway; avenue; aisle |N/A
付き合う |つきあう |[1] to associate with; to keep company with; to go out with; to go steady with; to get on with [2] to go along with; to follow someone's lead; to accompany someone; to compromise |970
突き当たり |つきあたり |end (of a street, hallway, etc.) |N/A
突き当たる |つきあたる |[1] to run into; to collide with; to crash into; to bump against [2] to come to the end of (a street) [3] to run into (difficulties, problems, etc.); to run up against |N/A
点く |つく |[1] to be lit (of a lamp, burner, etc.); to catch fire; to ignite; to start burning [2] to be turned on (of a light, appliance, etc.); to come on |N/A
突く |つく |[1] to prick; to stab [2] to poke; to prod; to push; to thrust; to nudge; to hit; to strike [3] to use (a cane); to prop oneself up with; to press against (the floor, etc.) |2747
次ぐ |つぐ |to follow; to come after; to come next (to); to rank next (to); to rank second (to) |4313
点ける |つける |to turn on; to switch on; to light up |N/A
伝わる |つたわる |[1] to spread (of a rumour, news, etc.); to travel; to circulate; to go around; to be passed around; to become known [2] to be handed down (from generation to generation); to be passed down [3] to be introduced (to a country, region, etc.); to be brought; to come |1323
突っ込む |つっこむ |[1] to thrust (something) into (something); to cram; to stuff; to shove [2] to plunge into; to charge into; to rush into; to ram into; to crash into [3] to delve into (a matter); to go into depth; to get to the heart (of something) |2491
努める |つとめる |to endeavor (to do); to endeavour; to try hard; to work hard; to strive; to make an effort; to exert oneself; to devote oneself; to be committed (to doing) |1784
綱 |つな |[1] rope; cord; line [2] grand champion's braided belt |N/A
繋がり |つながり |connection; link; relationship |2728
繋がる |つながる |[1] to be tied together; to be connected to; to be linked to [2] to lead to; to be related to [3] to be related (by blood) |808
繋げる |つなげる |[1] to connect [2] to tie; to fasten [3] to transfer (phone call) |4523
粒 |つぶ |[1] grain; bead; drop [2] counter for small round objects including grains, seeds, pills, drops |N/A
潰す |つぶす |[1] to smash; to crush; to flatten [2] to shut down; to put out of business; to force (a company) to close up shop [3] to wreck; to break; to block; to thwart |2479
潰れる |つぶれる |[1] to be crushed; to be squashed; to be smashed; to be destroyed; to be broken; to collapse [2] to go bankrupt; to go under; to fail; to collapse [3] to be ruined (of a plan); to be cancelled; to collapse (e.g. of a project); to fall through; to blow up |3231
躓く |つまずく |[1] to trip (over); to stumble [2] to fail; to suffer a setback |N/A
詰まる |つまる |[1] to be packed (with); to be filled; to be full (e.g. of a schedule) [2] to be blocked (of a pipe, nose, etc.); to be clogged; to be stopped up [3] to be become shorter; to shrink; to narrow |1283
積む |つむ |[1] to pile up; to stack [2] to load (car, ship, etc.); to pack [3] to acquire; to accumulate |2270
爪 |つめ |[1] nail (e.g. fingernail, toenail); claw; talon; hoof [2] plectrum; pick [3] hook; clasp |2945
艶 |つや |[1] gloss; luster; lustre; shine; sheen; polish [2] mellowness (of a voice); youthfulness (e.g. of skin) [3] interest; appeal; charm; color; colour; feeling |N/A
強気 |つよき |[1] confident; assured; self-assured; firm; strong; cocksure [2] bullish |N/A
釣り合う |つりあう |[1] to balance; to be in harmony; to be in equilibrium [2] to suit; to go well together; to be a good match |N/A
吊る |つる |[1] to hang; to suspend; to sling; to wear (e.g. a sword); to put up (e.g. a shelf) [2] to hang oneself [3] to hoist an opponent off of his feet by his loincloth |N/A
吊るす |つるす |to hang; to hang up |N/A
手洗い |てあらい |[1] washing one's hands; water (or basin, etc.) for washing one's hands [2] restroom; lavatory; toilet [3] hand-washing (laundry, etc.) |N/A
定員 |ていいん |[1] fixed number (of people); prescribed number (of regular personnel, students, etc.); quota; numerical limit; complement [2] capacity (of a bus, boat, theatre, etc.); seating capacity |2370
低下 |ていか |fall; decline; lowering; deterioration; degradation |1555
定価 |ていか |list price; regular price; established price |N/A
定期券 |ていきけん |commuter pass; season ticket |N/A
停止 |ていし |[1] stoppage; coming to a stop; halt; standstill [2] ceasing (movement, activity, etc.); suspension (of operations); interruption (e.g. of electricity supply); cutting off [3] suspension (of payment, a licence, etc.); (temporary) prohibition; ban |3673
停車 |ていしゃ |stopping (of a train, car, etc.); stop |N/A
手入れ |ていれ |[1] care; looking after; repair; maintenance; tending; trimming; grooming [2] (police) raid; crackdown |4379
的確 |てきかく |accurate; precise; exact; appropriate; apt; right |3804
手首 |てくび |wrist |N/A
手ごろ |てごろ |[1] handy; convenient [2] suitable; reasonable; moderate |N/A
手帳 |てちょう |[1] notebook; memo pad; (pocket) diary [2] certificate [3] identification card |N/A
鉄橋 |てっきょう |railway bridge; iron bridge |N/A
鉄砲 |てっぽう |[1] gun [2] wooden pole that wrestlers strike in practice [3] puffer fish |N/A
手続き |てつづき |procedure; process; proceedings; formalities |1819
テニスコート |tennis court |N/A
手ぬぐい |てぬぐい |(hand) towel |N/A
手前 |てまえ |[1] before oneself; in front of one; nearby [2] a bit before reaching (a location); this side (of a location) [3] one's standpoint; one's appearance; face; honour |2521
照らす |てらす |[1] to shine on; to illuminate [2] to compare (with); to refer to |3786
照る |てる |[1] to shine [2] to look slightly upward (of a noh mask; indicating joy, etc.) |N/A
展開 |てんかい |[1] development; evolution; progression; unfolding; (plot) twist [2] expansion; spreading out; extending; deployment; building up [3] expansion (of an algebraic expression) |1180
点数 |てんすう |[1] marks; points; score; grade; runs (baseball) [2] number of items; number of articles |N/A
点々 |てんてん |[1] here and there; little by little; sporadically; scattered in drops [2] dots; spots |N/A
転々 |てんてん |[1] moving from place to place; being passed around repeatedly [2] rolling about |N/A
天皇 |てんのう |[1] Emperor of Japan [2] Tennou |2435
テンポ |tempo |N/A
テーマ |theme; topic; subject matter; motif; project; slogan |301
出入り |でいり |[1] going in and out; entering and exiting [2] visiting regularly; frequenting; having regular dealings with [3] income and expenditure; incomings and outgoings |N/A
出入り口 |でいりぐち |exit and entrance |N/A
出来上がり |できあがり |[1] completion; finish [2] workmanship; result; outcome |N/A
出来上がる |できあがる |[1] to be completed; to be finished; to be ready (e.g. to serve or eat) [2] to be very drunk; to get plastered |1379
出鱈目 |でたらめ |[1] nonsense; irresponsible remark; codswallop; hogwash; rubbish [2] random; haphazard; unsystematic |N/A
出迎え |でむかえ |meeting; reception |N/A
出迎える |でむかえる |to meet; to greet |N/A
伝記 |でんき |biography; life story |N/A
電球 |でんきゅう |light bulb |N/A
電池 |でんち |battery; cell |N/A
電柱 |でんちゅう |utility pole; power pole; telephone pole; telegraph pole |N/A
電波 |でんぱ |[1] radio wave; reception; signal [2] saying strange things |N/A
電流 |でんりゅう |electric current |N/A
電力 |でんりょく |electric power |N/A
問い合わせ |といあわせ |inquiry; query; enquiry |1915
統一 |とういつ |unity; consolidation; uniformity; unification; compatible |3685
統計 |とうけい |statistics |N/A
峠 |とうげ |[1] (mountain) pass; highest point on a mountain road; ridge [2] peak (e.g. of summer); worst (e.g. of an illness); crisis; critical point; most difficult part |N/A
東西 |とうざい |[1] east and west [2] Orient and Occident; East and West [3] ladies and gentlemen!; your attention, please!; roll-up, roll-up |N/A
投書 |とうしょ |[1] letter (e.g. of complaint); letter to the editor; letter from a reader [2] contribution (to a newspaper, magazine, etc.) |N/A
当日 |とうじつ |day in question; appointed day; that very day; the day (of issue, publication, etc.) |1723
登場 |とうじょう |[1] entrance (on the stage); appearance (in a book, film, etc.) [2] appearance (on the scene); arrival (on the market); emergence; introduction; advent |1238
灯台 |とうだい |[1] lighthouse [2] old-fashioned interior light fixture comprising a wooden pole with an oil-filled dish and a wick atop it |N/A
盗難 |とうなん |theft; robbery |N/A
当番 |とうばん |being on duty; person on duty; one's turn |N/A
等分 |とうぶん |division into equal parts; equal parts |N/A
透明 |とうめい |transparent; clear |4344
灯油 |とうゆ |kerosene; paraffin; lamp oil |N/A
東洋 |とうよう |[1] the East; the Orient; (East) Asia [2] Japan |N/A
通りかかる |とおりかかる |to happen to pass by |N/A
溶かす |とかす |[1] to dissolve [2] to melt |4123
尖る |とがる |[1] to taper to a point; to become pointed; to become sharp [2] to be on edge; to be nervous; to be irritable; to be touchy [3] to be sharp (of a voice, words, etc.); to be harsh; to be angry; to look displeased; to look sour |N/A
溶く |とく |to dissolve (paint); to scramble (eggs); to melt (metal, etc.); to mix (water with flour, etc.) |N/A
特殊 |とくしゅ |special; particular; peculiar; unique |2652
特色 |とくしょく |[1] characteristic; feature; idiosyncrasy; personal colour [2] spot color |3849
特長 |とくちょう |strong point; forte; merit; strength |N/A
特定 |とくてい |[1] specific; particular; designated; special [2] specifying; designating; identifying; pinpointing |1780
特売 |とくばい |special sale; bargain sale |N/A
溶け込む |とけこむ |[1] to melt into; to dissolve into; to merge into [2] to blend into (surroundings); to fit in; to adapt to; to integrate |N/A
溶ける |とける |[1] to melt; to thaw; to fuse [2] to dissolve |3418
床の間 |とこのま |tokonoma (alcove where art or flowers are displayed) |N/A
所々 |ところどころ |here and there; in places |N/A
都心 |としん |city centre (esp. of Tokyo); heart of a city; downtown area |2381
戸棚 |とだな |cupboard; locker; closet; wardrobe; cabinet |N/A
疾っくに |とっくに |long ago; a long time ago; already |N/A
整う |ととのう |[1] to be ready; to be prepared; to be arranged [2] to be in order; to be put in order; to be well-ordered; to be well-proportioned; to be harmonious [3] to be adjusted; to be regulated; to be refined (e.g. of a face) |3131
止まる |とどまる |[1] to remain; to abide; to stay (in the one place) [2] to be limited to; to be confined to; to only account for |2465
留まる |とどまる |[1] to remain; to abide; to stay (in the one place) [2] to be limited to; to be confined to; to only account for |2465
飛び込む |とびこむ |[1] to jump in; to leap in; to plunge into; to dive [2] to burst in; to barge in |2615
泊める |とめる |to give shelter to; to lodge; to put up; to accommodate |N/A
兎も角 |ともかく |[1] anyhow; anyway; somehow or other; generally speaking; in any case; be that as it may [2] apart from ...; setting ... aside |1736
捉える |とらえる |[1] to catch; to capture; to seize; to arrest; to grab; to catch hold of [2] to grasp (e.g. meaning); to perceive; to capture (e.g. features) [3] to captivate; to move (one's heart) |1226
取り入れる |とりいれる |[1] to take in; to gather in [2] to adopt (e.g. an idea); to accept (e.g. advice); to introduce (e.g. technology); to borrow (e.g. a word) [3] to harvest; to reap; to gather in |1943
取り消す |とりけす |to cancel; to withdraw; to retract; to take back (words, etc.); to revoke |N/A
取り出す |とりだす |[1] to take out; to produce; to pick out [2] to fetch; to retrieve |1714
捕る |とる |to catch (a wild animal, fish, insect, baseball, etc.); to capture |N/A
トレーニング |[1] training (for a skill, job, sport, etc.); practice [2] working out; workout; (strength, weight) training |2527
銅 |どう |[1] copper (Cu) [2] bronze (medal) |N/A
同格 |どうかく |[1] the same rank; equality [2] apposition |N/A
動作 |どうさ |[1] movement (of the body); action; motion; gesture [2] bearing; carriage; behaviour; behavior; demeanour; demeanor [3] operation (of a machine, software, etc.); running; working; functioning |3040
どうせ |[1] anyhow; in any case; at any rate; after all; at all; no matter what [2] at best; at most |2529
どうぞ宜しく |どうぞよろしく |[1] pleased to meet you; how do you do [2] my regards (to someone); my greetings; best wishes; remember me to |N/A
童話 |どうわ |children's story; fairy tale |N/A
ドキドキ |[1] thump-thump; bang-bang; pit-a-pat; pitapat; pitter-patter [2] to beat fast (of one's heart); to throb; to pound; to palpitate |4081
退く |どく |[1] to step aside; to move (i.e. out of the way); to make way [2] to resign; to retire; to quit; to secede |N/A
どっと |[1] bursting out (laughter); breaking out (applause); roaring; whooping [2] in a rush; in a surge; flooding in; pouring in [3] suddenly; all of a sudden |N/A
怒鳴る |どなる |to shout (in anger); to yell |4329
丼 |どんぶり |[1] porcelain bowl [2] donburi; bowl of meat, fish, etc. served over rice |N/A 
