word|reading|russian translation|english translation|serbian translation|russian mnemonic|english mnemonic|serbian mnemonic|japanese menmonic
一|いち||один|one|један|одна горизонтальная линия — это просто число один|one horizontal line — it’s simply the number one|једна хоризонтална линија — то је број један|一|の横線、それは「一」
一|いち||один|one|један|Один(一) прямой путь, одна линия|One(一) straight path, one line|Један(一) прави пут, једна линија|一(一)の線は、すべての始まり
可|か|口|возможно, разрешено, допустимо|able, possible, permissible|могуће, дозвољено|Локоть близок, легко укусишь, так думали люди, начиная использовать изображение рта(口) и локтя для обозначения пригодности чего-то, возможности или допустимости. Было поздно что-то менять, когда кто-то не поленился проверить, так ли это.|The elbow is close and very bitable, or so people thought when they started using the image of a mouth(口) and an elbow to represent suitability, possibility, or permissibility. By the time someone actually checked, it was too late to change anything.|Лакт је близу и веома загризљив, или су бар људи тако мислили када су почели да користе слику уста(口) и лакта да означе прикладност, могућност или допуштеност. Када је неко коначно проверио, било је касно да се ишта промени.|肘は口のすぐそばにあり、とても 噛みやすい と思われていた。だから人々は口と肘の形を使って適性、可能性、許容を表すようになった。しかし、誰かが実際に試した時には、もう遅すぎた
木|き||дерево, древесина|tree, wood|дрво, грађа|Дерево стоит прямо (丨), его ветви раскинулись широко (一), а корни уходят глубоко (丿, ㇏).|A tree stands tall (丨), its branches spread wide (一), and its roots dig deep (丿, ㇏).|Дрво стоји усправно (丨), његове гране се шире (一), а корење иде дубоко (丿, ㇏).|木はまっすぐ立ち (丨)、枝は広がり (一)、根は深く伸びる (丿, ㇏)。
禾|のぎ|木|ость, злак, зёрна, рисовое растение|awn, grain, cereal, rice plant|осје, жито, зрно, биљка пиринча|Древесная (木) часть здесь обозначает растение, а верхний штрих показывает кончик с зёрнами.|The tree (木)-like part is for "plant" here, and the top stroke marks the tip with grains.|Део налик на дрво (木) овде означава биљку, а горња црта означава врх са зрнима.
私|わたし|禾, 厶|я, личный, частный|I, personal, private|ја, лично, приватно|Я спрятался за зерновым растением (禾), виден только нос или хвост (厶). Теперь любой может использовать этот рисунок для слова «я» (私), подразумевая, что это он скрывается за растением.|I hide behind a grain plant (禾), with only my nose or tail (厶) sticking out. Now anyone can use this picture for 'I' (私), implying they are the one hidden behind the plant.|Сакрио сам се иза житне биљке (禾), види се само нос или реп (厶). Сада свако може користити ову слику за „ја“ (私), подразумевајући да се он крије иза биљке.|穀物の植物 (禾) の後ろに隠れて、鼻か尻尾 (厶) だけが見える。この絵を「私 (わたし)」として使えば、誰でも「自分が隠れている」と思える。
上|じょう, うえ||верх, над, подниматься|up, above, rise|горе, изнад, уздизати се|Упрощённая рука с отставленным в сторону большим пальцем поднята вверх. Добавлена земля (一) внизу, чтобы прояснить направление.|A simplified hand with an outstretched thumb to the side is raised upward. A ground line (一) was added below to clarify the direction.|Поједностављена рука са одвојеним палцем са стране подигнута је нагоре. Додата је земља (一) испод да разјасни правац.|簡略化された手が横に伸ばした親指とともに上に上がる。地面の線 (一) を追加して 方向をはっきり示した。
下|か, した||низ, под, опускаться|down, below, descend|доле, испод, силазити|Упрощённая рука с отставленным в сторону большим пальцем опущена вниз. Добавлена черта (一) сверху, чтобы прояснить направление.|A simplified hand with an outstretched thumb to the side is lowered downward. A horizontal line (一) was added above to clarify the direction.|Поједностављена рука са одвојеним палцем са стране спуштена је надоле. Додата је хоризонтална црта (一) изнад да разјасни правац.|簡略化された手が横に伸ばした親指とともに下に下がる。上に線 (一) を追加して 方向をはっきり示した。
止,止まる,止める|止まる, 止める|上|останавливаться, прекращаться|to stop, to halt, to stay still|зауставити се, стати, престати|Ты не можешь подняться (上), потому что гвоздь держит тебя. Ты вынужден остановиться.|You can’t go up (上) because a nail is holding you down. You are forced to stop.|Не можеш да се подигнеш (上) јер те ексер држи на месту. Присиљен си да станеш.|上に行こうとしても、釘が押さえているので止まる。
匕|さじ||ложка|sitting person, spoon, dagger|седећа особа, кашика, бодеж|Сидящий человек (匕) ест, используя нож и ложку.|A sitting person (匕) is eating, using a knife and a spoon.|Седећа особа (匕) једе, користећи нож и кашику.|座っている人 (匕) が、ナイフとスプーンを使って食事をしている。
此, 此れ, 此の|これ, この|止, 匕|этот, здесь|this, here|овај, овде|Не двигаясь (止) сидящий человек (匕) может дотянуться только до того, что рядом.|Without moving (止), a sitting person (匕) can only reach things that are close.|Без кретања (止), седећа особа (匕) може дохватити само оно што је близу.|動かずに (止)、座ったまま (匕)、近くのものしか届かない。
之|し, の|フ,ヘ|этот, маркер принадлежности|this, possessive marker|овај, припадати|Это хирагана え, сформированная из катаканы フ с дополнительной точкой над катаканой ヘ.|This is hiragana え (e) shaped from katakana フ (fu) with an extra dot over katakana ヘ (he).|Ово је хирагана え (e), обликована од катакане フ (fu) са додатном тачком изнад катакане ヘ (he).|これは、カタカナのフ (fu) から作られたひらがな え (e) で、カタカナのヘ (he) の上に点が追加されている。
行, 行く,行なう,行う|いく,行なう|彳|идти, путешествовать, делать, строка, поведение|to go, to travel, to do, line, conduct|ићи, путовати, ред, понашање|Можно рассматривать как движение шаг за шагом или шаг с Т-образным указателем как целью пути.|Can be viewed as step by step, or a step with a T-shaped mark/signpost as the goal of movement.|Може се видети као кретање корак по корак или као корак ка Т-обликованом путоказу као циљу.|一歩一歩の動きとして、またはT字型の標識を目指して進む姿として見られる。
米|べい, まい, こめ|木|рис, зерно, Америка|rice, grain, USA|пиринач, жито, Америка|Дерево (木) может обозначать другие растения, а искры здесь показывают ценный рис.|A tree (木) can depict other plants, and the sparks here mark valuable rice.|Дрво (木) може приказивати друге биљке, а варнице овде означавају вредан пиринач.|木は他の植物を表し、ここにある火花は貴重な米を示している
来|らい, くる|米, 未|приходить, следующий, будущее|to come, next, future|доћи, следећи, будућност|Растение риса (米) ещё не (未) выросло полностью — его время придёт.|A rice plant (米) is not yet (未) fully grown—it will come in the future.|Биљка пиринча (米) још није (未) потпуно израсла — доћи ће у будућности.|米の植物はまだ (未) 完全に育っていない—未来にやってくる。
目|もく, め||глаз, зрение, порядок|eye, vision, order|око, вид, ред|Похоже на солнце (日), без которого глаз не работает. Зрачок в круге глаза, но без кругов, так как их в кандзи не используют.|Similar to the sun (日), which is needed for eyes to work. A circle for the iris inside a circle for the eye, but since kanji don’t use circles, it's writ| this way.|Слично сунцу (日), без којег око не функционише. Круг за зеницу унутар круга ока, али пошто канджи не користе кругове, записан је овако.|目は太陽 (日) に似ており、光がないと目は機能しない。瞳が円の中にあるが、漢字では円を使わないのでこの形になった。
見る|みる|目, 儿|видеть, смотреть, наблюдать|to see, to look, to watch|видети, гледати, посматрати|Наблюдение — это не пассивный процесс, глаз постоянно двигается, осматривая объект. А чтобы передвигаться, глазу нужны ноги.|Observation isn’t a passive process—your eye constantly moves over different parts of what it sees. And to move around, an eye obviously needs legs.|Посматрање није пасиван процес—око непрестано прелази преко различитих делова онога што гледа. А да би се кретало, очигледно му требају ноге.|観察は受動的なものではなく、目は対象のいろいろな部分を動きながら見る。だから、動くためには目に足が必要だ！
今|こん, いま|ラ|сейчас, настоящее время|now, present|сада, садашње време|Этот иероглиф похож на часы с кукушкой: у него остроконечная крыша, а линии внизу похожи на стрелки, показывающие текущее время.|This kanji looks like a cuckoo clock, with a pointy roof and lines below that resemble arrows showing the current time—reminding you that 'now' (今) is the present moment.|Овај канджи личи на кукавичасти сат, са шиљатим кровом и линијама испод које подсећају на стрелице које показују тренутно време.|この漢字は鳩時計に似ていて、尖った屋根があり、下の線が現在の時間を示す矢印のように見える
衣|い, ころも||одежда, одеяние, наряд|clothing, garment, robe|одећа, хаљина, одело|Этот иероглиф похож на развевающуюся одежду (衣), но это не человек в одежде, а сама одежда, хранящаяся под крышкой.|This kanji looks like a robe with flowing sleeves, representing clothing (衣). It’s not a person wearing clothes, but the clothes themselves, stored under a lid.|Овај канджи личи на огртач са широким рукавима (衣), али то није особа у одећи, већ сама одећа, складиштена испод поклопца.|この漢字は袖の広い衣 (衣) に見えるが、これは人が着ているのではなく、蓋の下に収納された衣服 を表している。
良, 良い, 良く|りょう, よい, よく|白, 衣|хороший, приятный, часто|good, pleasant, often|dobar, prijatno, često|Долгожитель с белыми (白) волосами хорошо проводит время в одежде с широкими рукавами (衣) и удобных туфлях. От качества [よい] есть переход к количеству или повторяемости [よく].|A long-lived person with white (白) hair enjoys a good time strolling in wide-sleeved clothes (衣) and comfy shoes. There’s an extension from quality [よい] to quantity or consistency [よく].|Dugovečna osoba sa belom (白) kosom uživa u dobroj odeći (衣) sa širokim rukavima i udobnim cipelama. Od kvaliteta [よい] postoji prelaz ka količini ili učestalosti [よく].|白 (白) 髪の長寿者が広い衣 (衣) と靴で良い時を過ごす。そこから質 [よい] から量や継続性 [よく] への広がりがある。斤|きん||топор, мера веса (600 г)|axe, unit of weight (600g)|секира, јединица тежине (600г)|Похоже на топор (斤), которым рубят дрова на куски определённого веса.|Looks like an axe (斤) used for chopping wood into chunks of specific weight.|Личи на секиру (斤), којом се цепа дрво на делове одређене тежине.|斧 (斤) の形をしていて、木を決まった重さの塊に割るために使われた。
門|もん, かど||ворота, вход|gate, entrance|капија, улаз|В отличие от своих ранних форм, у этих ворот есть дополнительное пространство внизу, чтобы можно было просовывать крупные посылки. Так что теперь они больше похожи на двери салуна.|Unlike its earlier forms, this gate has some extra space under it so bigger packages could be slipped through. So it looks more like saloon doors now.|За разлику од својих ранијих облика, ова капија има додатан простор испод како би се могле провлачити веће пошиљке. Дакле, сада више личи на салунска врата.|以前の形とは異なり、この門には下に余裕があり、大きな荷物を通すことができる。だから、今はよりサルーンのドアのように見える。
戸|と|尸|дверь, домохозяйство|door, household|врата, домаћинство|Похоже на створчатую дверь, слегка приоткрытую, если смотреть сбоку.|A single-panel door, slightly open, viewed from the side.|Личи на једнокрилна врата, мало отворена, гледано са стране.|片開きの扉が少し開いた状態を横から見た形
所|ところ|戸, 斤|место, локация|place, location|место, локација|За дверью (戸) обычно есть какое-то место. Убери дверь и топор (斤), и останется просто место.|Behind a door (戸), there is usually some place. Remove the door and the axe (斤), and what's left is just a place.|Иза врата (戸) обично постоји неко место. Уклони врата и секиру (斤), и остаје само место.|戸 (ドア) の向こうにはたいてい場所がある。ドアと斧 (斤) を取り除けば、ただの場所が残る。
自ら, 自ずから|みずから, おのずから|目|сам, себя, естественным образом, само собой|oneself, self, naturally, spontaneously|сам, себе, природно, спонтано|Изначально человек указывал на свой нос, обозначая себя (みずから). Теперь же кажется, что палец попал в глаз, и он самопроизвольно (おのずから) моргает.|Originally, one pointed at one's nose to indicate oneself (みずから). But now it looks like a finger got into the eye, and the eye spontaneously (おのずから) blinks.|Првобитно је особа показивала на свој нос да означи себе (みずから). Али сада изгледа као да је прст ушао у око, и око спонтано (おのずから) трепће.|元々は鼻を指して自分 (みずから) を示していた。しかし今では指が目に入ったように見え、目が 自然に (おのずから) 瞬く。
刀|かたな||нож, меч|knife, sword|нож, мач|В отличие от 勿, нет крови, просто меч. В составе других кандзи часто упрощается до 刂.|Unlike 勿, no blood, just a sword. As a radical, of| simplified to 刂.|За разлику од 勿, нема крви, само мач. Као радикал, често се поједностављује у 刂.|勿 と違って、血はなく、ただの刀。部首として使われるときは、よく 刂 に簡略化される。
分|ぶん, ふん, わかる, わける, わかつ|刀, 八|делить, понимать, минута, часть|to divide, to understand, minute, portion|делити, разумети, минут, део|Чтобы понять[わかる], как это работает, возьми меч(刀) и раздели[わける] его на восемь(八) частей[ぶん], или разъедини[わかつ] их, это займет всего минуту[ふん].|To understand[わかる] how it works, take a sword(刀) and separate[わける] it into eight(八) parts[ぶん], and distinguish[わかつ] them, it will take only a minute[ふん].|Да разумеш[わかる] како ово ради, узми мач(刀) и подели[わける] га на осам(八) делова[ぶん], или раздвоји[わかつ] их, то ће трајати само минут[ふん].|仕組みを理解する[わかる] には、刀(刀) で八(八) つの部分[ぶん] に分ける[わける] か、分かつ[わかつ] といい。それはたった一分[ふん] でできる。
古い|ふるい|口, 十|старый, древний|old, ancient|старо, древно|Эти слова передавались из уст в уста (口) от старого поколения к новому десять (十) раз — они очень древние.|These words have been passed down by word of mouth (口) from the old generation to the new one | (十) times—they are very old.|Ове речи су се усмено преносиле (口) са старе генерације на нову десет (十) пута—оне су веома старе.|これらの言葉は口伝え (口) で古い世代から新しい世代へ十 (十) 回伝えられ、とても古いものとなった。
居る,|いる|尸, 古|находиться, жить, сидеть|to reside, to be, to live, to sit|налазити се, живети, седети|Дверь без верхней черты (尸) технически означает «труп», но также выглядит как большой лист на стебле. В древние (古) времена домов еще не существовало, так что под листом находилось место для жизни.|A door without a top stroke (尸) technically means corpse, but it also looks like a big leaf on a stem. In ancient (古) times, houses were not yet invented, so under the leaf, there was a place to live.|Врата без горње црте (尸) технички значе „леш“, али такође изгледају као велики лист на стаблу. У древна (古) времена куће још нису биле измишљене, па је испод листа било место за живот.|上の線がない戸 (尸) は|来「死体」を意味するが、長い茎の上の大きな葉 にも見える。古 (古) 代には家がまだ存在せず、その葉の下が住む場所だった
山|やま||гора|mountain|планина|В Японии горы часто считаются богами. Можно считать, что этот иероглиф изображает триединого бога.|In Japan, mountains are of| considered to be gods. This kanji could be seen as a depiction of a triune god.|У Јапану се планине често сматрају боговима. Овај канджи може представљати тројединог бога.|日|では山は神とされることが多い。この漢字は三位一体の神を表しているとも考えられる。
