再 |さい |re-; again |N/A
飼育 |しいく |breeding; raising; rearing; keeping |N/A
強いて |しいて |by force |N/A
強いる |しいる |to force; to compel; to coerce; to press; to impose |4796
仕入れる |しいれる |[1] to buy (stock, materials, etc.); to purchase; to lay in; to stock; to procure [2] to get; to obtain |N/A
潮 |しお |[1] tide; current [2] sea water [3] opportunity; chance |N/A
歯科 |しか |dentistry |N/A
資格 |しかく |qualifications; requirements; capabilities |1703
視覚 |しかく |(sense of) sight; eyesight; vision |N/A
仕掛け |しかけ |[1] device; contrivance; mechanism; gadget [2] trick; trap; calculated manipulation; gambit [3] (small) scale; half finished |4657
仕掛ける |しかける |[1] to start; to begin; to commence [2] to challenge; to pick (a fight); to make (war); to draw (a reaction) from [3] to set (traps); to plant (explosives); to lay (mines) |4820
然しながら |しかしながら |however; nevertheless |N/A
市街 |しがい |[1] urban areas; the streets; town; city [2] Shigai |N/A
指揮 |しき |[1] command; direction; supervision [2] conducting (an orchestra, choir, etc.) |4494
式場 |しきじょう |ceremonial hall (e.g. wedding, funeral); hall for ceremonies; place of ceremony |N/A
仕来り |しきたり |custom; convention; tradition; mores; conventional practice |N/A
仕切る |しきる |[1] to partition; to divide; to mark off [2] to direct; to manage; to run; to organize; to take responsibility for [3] to settle accounts |N/A
資金 |しきん |funds; capital |2134
|しくじる |[1] to fail; to blunder; to mess up; to screw up [2] to be dismissed; to be fired |N/A
仕組み |しくみ |[1] structure; construction; arrangement; contrivance; mechanism; workings [2] plan; plot; contrivance |1919
死刑 |しけい |death penalty; capital punishment |N/A
湿気る |しける |to get damp; to get moist; to get soggy; to become humid |N/A
嗜好 |しこう |taste; liking; preference |N/A
施行 |しこう |[1] putting in force (a law); putting into operation; putting into effect; enforcement [2] carrying out (a plan, policy, etc.); execution |3483
思考 |しこう |thought; consideration; thinking |3834
視察 |しさつ |inspection; observation |N/A
資産 |しさん |property; fortune; means; assets |2983
刺繍 |ししゅう |embroidery |N/A
指示 |しじ |[1] indication; denotation; designation [2] instructions; directions |1844
支持 |しじ |[1] support; backing; endorsement; approval [2] propping up; holding up; support |2959
|システム |system |1319
滴 |しずく |drop (e.g. of water); drip |N/A
沈める |しずめる |[1] to sink (e.g. a ship); to submerge [2] to lower (e.g. one's body into a chair) [3] to floor (an opponent) |N/A
施設 |しせつ |[1] facility; facilities; institution; establishment [2] home (for the elderly, orphans, etc.) |1176
子息 |しそく |(another's) son |N/A
慕う |したう |[1] to yearn for; to long for; to pine for; to miss; to love dearly; to adore [2] to follow (someone) [3] to idolize (for virtue, learning, status, etc.) |N/A
下心 |したごころ |[1] secret intention; ulterior motive [2] kanji "heart" radical at bottom |N/A
親しむ |したしむ |to be intimate with; to befriend |N/A
下地 |したじ |[1] groundwork; foundation [2] inclination; aptitude; elementary knowledge (of); grounding (in) [3] undercoat; first coat |N/A
認める |したためる |[1] to write (e.g. a letter); to draw up (a document); to take down (e.g. notes) [2] to have (lunch, dinner, etc.); to eat |N/A
仕立てる |したてる |[1] to tailor; to make (clothing) [2] to train; to bring up [3] to make it seem like; to pass off |N/A
下取り |したどり |trade-in; part exchange |N/A
下火 |したび |burning low; waning; declining |N/A
|シック |chic; stylish; smart |N/A
質素 |しっそ |[1] simple; plain [2] modest; frugal; reserved |N/A
失調 |しっちょう |[1] lack of harmony; lack of balance; lack of coordination; malfunction [2] ataxia |N/A
嫉妬 |しっと |jealousy; envy |N/A
室 |しつ |[1] room [2] wife (of someone of high rank) [3] scabbard |N/A
質疑 |しつぎ |[1] question [2] interpellation |N/A
仕付ける |しつける |[1] to be used to; to get accustomed to; to be in the habit of doing [2] to train; to discipline; to teach manners [3] to tack (in needlework); to baste |N/A
指摘 |してき |pointing out; identification |1029
視点 |してん |[1] point of view; viewpoint; angle; perspective [2] visual point (position of the eye in calculations of optical instruments) |2209
萎びる |しなびる |to shrivel (e.g. cut vegetables, skin); to wilt; to fade; to wither; to be wizened |N/A
|しなやか |[1] supple; flexible; elastic [2] graceful; elegant; refined |N/A
|シナリオ |[1] script; screenplay [2] scenario |N/A
し尿 |しにょう |excreta; raw sewage; human waste; night soil |N/A
凌ぐ |しのぐ |[1] to endure; to keep out (e.g. rain); to stave off (e.g. starvation) [2] to pull through; to get over; to survive [3] to surpass; to outdo; to excel; to eclipse; to defy; to slight |N/A
始発 |しはつ |[1] first departure (of the day); first train; first bus [2] departing from the starting station (of a bus, train, etc.) |N/A
芝 |しば |lawn; sod; turf |N/A
渋い |しぶい |[1] astringent; bitter; puckery; rough; harsh; tart [2] austere; elegant (and unobtrusive); refined; quiet (and simple); sober; sombre; subdued; tasteful (in a quiet way); understated [3] sour (look); glum; grim; sullen; sulky |N/A
私物 |しぶつ |private property; personal belongings; personal effects |N/A
|しぶとい |tenacious; tough; enduring; dogged; headstrong; stubborn; obstinate; unyielding |N/A
司法 |しほう |administration of justice; judicature |N/A
志望 |しぼう |wish; desire; ambition; choice |N/A
脂肪 |しぼう |fat; grease; blubber; lard; suet |3921
仕舞い |しまい |[1] end; close; finish; termination [2] noh dance in plain clothes |N/A
始末 |しまつ |[1] management; dealing with; settlement; cleaning up; disposal [2] course of events; circumstances; particulars [3] end result (usu. bad); outcome |4455
染みる |しみる |[1] to pierce; to penetrate; to soak in; to permeate [2] to sting (wound or sensitive area, etc.); to smart; to twinge [3] to be infected (with vice); to be steeped (with prejudice); to be influenced |N/A
使命 |しめい |[1] mission; errand [2] task; duty; obligation |N/A
締め切り |しめきり |[1] deadline; closing; cut-off [2] closing (a door, window, etc.) [3] cofferdam |N/A
僕 |しもべ |servant; manservant; menial |N/A
社交 |しゃこう |social life; social intercourse |N/A
謝絶 |しゃぜつ |refusal; declining |N/A
社宅 |しゃたく |[1] company housing; housing provided by one's company [2] Shataku |4726
吃逆 |しゃっくり |hiccup; hiccough |N/A
三味線 |しゃみせん |shamisen; samisen; three-stringed Japanese lute |4651
斜面 |しゃめん |slope; slanting surface; bevel |N/A
洒落 |しゃらく |free and easy; open-hearted; relaxed; not fussy; frank |N/A
洒落る |しゃれる |[1] to dress stylishly [2] to joke; to play on words |N/A
視野 |しや |[1] field of vision; view [2] one's outlook (e.g. on life); one's horizons |3733
種 |しゅ |[1] kind; variety [2] (biological) species [3] (logical) species |1670
周 |しゅう |[1] counter for laps or circuits [2] perimeter [3] Zhou dynasty (of China; approx. 1046-256 BCE); Chou dynasty |N/A
衆 |しゅう |[1] great numbers (of people); numerical superiority; masses [2] people; folk; clique; bunch |N/A
修学 |しゅうがく |learning |N/A
周期 |しゅうき |cycle; period |N/A
衆議院 |しゅうぎいん |House of Representatives (lower house of the National Diet of Japan) |N/A
就業 |しゅうぎょう |employment; starting work |N/A
集計 |しゅうけい |totalization; totalisation; aggregation; tally (e.g. of votes); adding up; summing up |N/A
襲撃 |しゅうげき |(surprise) attack; assault; raid; charge |N/A
収支 |しゅうし |income and expenditure |N/A
修士 |しゅうし |master's (degree) |N/A
収集 |しゅうしゅう |[1] collecting; accumulating; gathering [2] collection (of art, stamps, insects, etc.) [3] garbage collection; waste collection |3987
修飾 |しゅうしょく |[1] ornamentation; embellishment; decoration; adornment [2] modification; qualification |N/A
執着 |しゅうちゃく |attachment; adhesion; insistence; tenacity; fixation; obsession; clinging (e.g. to old customs) |N/A
収容 |しゅうよう |[1] accommodation; taking in; receiving; housing; seating; admission (of patients, students, etc.) [2] imprisonment; detention; internment [3] containing (e.g. words in a dictionary); adding |N/A
修了 |しゅうりょう |completion (of a course) |N/A
守衛 |しゅえい |(security) guard; caretaker; janitor; doorkeeper; gatekeeper |N/A
主演 |しゅえん |starring (in a film, play, etc.); playing the leading part |N/A
主観 |しゅかん |[1] subjectivity; subject (philosophical); ego [2] one's personal opinion; one's own idea |N/A
修行 |しゅぎょう |[1] training; practice; discipline; study [2] ascetic practices |N/A
祝賀 |しゅくが |celebration; congratulations |N/A
宿命 |しゅくめい |fate; destiny; predestination |N/A
主権 |しゅけん |sovereignty; supremacy; dominion |N/A
手芸 |しゅげい |handicrafts |N/A
主催 |しゅさい |sponsorship (i.e. conducting under one's auspices); promotion; organizing; organising; hosting; staging |4553
取材 |しゅざい |gathering material (for an article, novel, etc.); collecting information; covering (an event, incident, etc.); reporting; interview (for a news story) |2535
趣旨 |しゅし |[1] meaning; point (e.g. of a statement); gist; effect [2] goal; intent; object; aim; point |2826
主食 |しゅしょく |staple food |N/A
主人公 |しゅじんこう |[1] protagonist; main character; hero; heroine [2] head (of a household); proprietor (of a store) |2221
主体 |しゅたい |[1] main constituent; core; nucleus [2] subject |3449
主題 |しゅだい |subject; theme; motif |N/A
出血 |しゅっけつ |[1] bleeding; haemorrhage; hemorrhage [2] bleeding money; red ink; selling below cost |N/A
出産 |しゅっさん |[1] childbirth; (giving) birth; delivery; parturition [2] production (of goods) |2358
出社 |しゅっしゃ |going to work (e.g. in the morning); coming to work |N/A
出生 |しゅっしょう |birth |N/A
出世 |しゅっせ |success in life; getting ahead; successful career; promotion; climbing the corporate ladder; eminence |N/A
出費 |しゅっぴ |expenses; disbursements |N/A
出品 |しゅっぴん |exhibiting; showing; putting on display; putting up for sale; entering (a work into a competition); submitting |3122
出演 |しゅつえん |appearance (in a film, play, TV show, etc.); performance |2646
出題 |しゅつだい |[1] setting a question (for an exam, quiz, etc.) [2] setting a theme (for composition of poetry) |N/A
出動 |しゅつどう |mobilization; going into action; being dispatched; being sent out; being called in; turning out |N/A
主導 |しゅどう |leadership; initiative; spearhead |N/A
主任 |しゅにん |person in charge; senior staff; manager; chief; head |N/A
首脳 |しゅのう |[1] head; leader; top [2] important part |N/A
守備 |しゅび |defense; defence |N/A
手法 |しゅほう |technique; method |3605
私有 |しゆう |private ownership |N/A
諸 |しょ |various; many; several |N/A
症 |しょう |illness; condition; -pathy |N/A
商 |しょう |[1] quotient [2] business; merchant; dealer [3] second degree (of the Japanese and Chinese pentatonic scale) |N/A
象 |しょう |form; shape; figure; appearance; phenomenon |N/A
消去 |しょうきょ |[1] erasure; deletion; elimination; clearing [2] elimination (of variables) [3] extinction |N/A
衝撃 |しょうげき |[1] impact; shock; impulse [2] (psychological) shock |3094
証言 |しょうげん |testimony; (verbal) evidence |3928
証拠 |しょうこ |evidence; proof |2233
詳細 |しょうさい |[1] details; particulars; specifics [2] detailed; specific; minute [3] close-up view (of a digitally displayed map); zoomed-in view |2175
昇進 |しょうしん |promotion; advancement; rising in rank |N/A
少数 |しょうすう |small number; few; minority |N/A
称する |しょうする |[1] to call; to name [2] to call oneself ...; to go by the name of ... [3] to purport (to be); to profess; to claim; to pretend; to feign |2957
消息 |しょうそく |[1] news (from someone); letter; contact [2] (someone's) whereabouts; (someone's) movements |N/A
承諾 |しょうだく |consent; approval; acceptance; agreement; compliance |N/A
象徴 |しょうちょう |symbol (of something abstract); emblem; (symbolic) representation |3355
小児科 |しょうにか |pediatrics |N/A
証人 |しょうにん |witness |N/A
照明 |しょうめい |illumination; lighting |4592
消耗 |しょうもう |exhaustion; consumption; using up; dissipation; waste |N/A
勝利 |しょうり |victory; triumph; win; conquest; success |2832
奨励 |しょうれい |encouragement; promotion; inducement; incitement; stimulation |N/A
職員 |しょくいん |staff member; employee; worker; personnel |2051
植民地 |しょくみんち |[1] colony [2] (Japanese) settlement (in Brazil) |N/A
職務 |しょくむ |professional duties |4915
諸君 |しょくん |[1] you (people) [2] gentlemen; ladies and gentlemen; my friends; everyone |N/A
所在 |しょざい |location (of); position; whereabouts; place where one is |N/A
所持 |しょじ |possession; having (on one's person); carrying (with one) |N/A
所属 |しょぞく |belonging to (a group, organization, etc.); affiliation (with); being attached to; being under the control of; serving (in the military, congress, etc.) |2566
処置 |しょち |[1] measure; step; dealing with [2] medical treatment |N/A
|ショック |[1] shock (emotional) [2] shock (physical); impact; jolt [3] crisis (esp. financial); event that rattles the markets |1486
|しょっちゅう |always; all the time; constantly; frequently; often |2460
所得 |しょとく |income; earnings |3661
初版 |しょはん |first edition |N/A
処罰 |しょばつ |punishment; penalty |N/A
書評 |しょひょう |book review |N/A
処分 |しょぶん |[1] disposal; throwing away; selling off [2] dealing with (a problem); measure [3] punishment; penalty |2610
庶民 |しょみん |common people; ordinary people; masses |4813
庶務 |しょむ |general affairs |N/A
|ショー |[1] show; performance [2] show; exhibition; expo; fair; convention [3] TV show |4389
仕様 |しよう |[1] way; method; means; resource; remedy [2] (technical) specification |1471
私用 |しよう |[1] personal use; private use [2] private business; personal business |N/A
使用人 |しようにん |employee; servant |N/A
退く |しりぞく |[1] to step back; to move back; to retreat [2] to withdraw (from the presence of a superior); to leave; to exit [3] to resign; to retire; to quit |N/A
退ける |しりぞける |[1] to refuse; to reject; to turn down; to dismiss [2] to repel; to repulse; to drive away; to beat off; to defeat [3] to make (someone) leave; to send away; to turn away |N/A
記す |しるす |[1] to write down; to note down; to jot down; to take a note of [2] to mention; to describe; to give an account of [3] to inscribe; to mark; to brand |1882
指令 |しれい |order; directive; instructions; command |N/A
代 |しろ |[1] substitution [2] material [3] price |N/A
皺 |しわ |[1] wrinkle; crease [2] ripple |4177
新 |しん |[1] new; neo- [2] newness; novelty [3] Gregorian calendar |N/A
進化 |しんか |[1] evolution [2] evolution; becoming more advanced; progress; development; improvement |2584
殿 |しんがり |[1] rear; rear unit guard [2] anchor (man) |N/A
審議 |しんぎ |deliberation; discussion; consideration |4514
進行 |しんこう |[1] moving forward (e.g. of a vehicle); onward movement [2] progress (of work, activities, etc.); advance; making headway [3] progression (of a disease, global warming, etc.) |2477
振興 |しんこう |[1] promotion; encouragement [2] Shinkou |N/A
新興 |しんこう |[1] rising; developing; emergent; burgeoning; new [2] Shinkou |N/A
申告 |しんこく |report; return (e.g. tax); statement; declaration; notification; filing |N/A
新婚 |しんこん |newly-wed; newly married |N/A
審査 |しんさ |judging; inspection; examination; investigation; review |3740
紳士 |しんし |gentleman |N/A
進出 |しんしゅつ |[1] advance (into a new market, industry, etc.); expansion (into); launch (into); entering; making inroads (into) [2] advance (to the next round of a competition) |3544
真実 |しんじつ |[1] truth; reality [2] truly; really [3] absolute truth |2874
真珠 |しんじゅ |pearl |N/A
心中 |しんじゅう |[1] double suicide; lovers' suicide [2] group suicide; family suicide |N/A
心情 |しんじょう |sentiment; emotions; one's feelings; one's heart |N/A
神聖 |しんせい |holiness; sacredness; sanctity; dignity |N/A
親善 |しんぜん |friendship; goodwill; friendly relations; amity |N/A
真相 |しんそう |truth; real situation |N/A
新築 |しんちく |new building; new construction |N/A
進呈 |しんてい |presentation (e.g. of a gift) |N/A
進展 |しんてん |progress; development |2858
神殿 |しんでん |temple; shrine; sanctuary |N/A
進度 |しんど |progress |N/A
新入生 |しんにゅうせい |new student; freshman; first-year student |N/A
信任 |しんにん |trust; confidence; credence |N/A
辛抱 |しんぼう |patience; endurance; perseverance |N/A
真理 |しんり |truth |N/A
侵略 |しんりゃく |invasion (e.g. of a country); raid; aggression |N/A
診療 |しんりょう |diagnosis and treatment; medical care |N/A
進路 |しんろ |[1] route; course; path [2] one's future course (e.g. after graduating high school) |N/A
|シート |seat |4797
次 |じ |[1] next [2] hypo- (i.e. containing an element with low valence) [3] order; sequence; time; times |N/A
自覚 |じかく |self-consciousness; self-awareness |2833
地方 |じかた |[1] person in charge of music (in a Japanese dance performance) [2] person singing ballads (in noh) [3] coast (esp. as seen from the water); shore |N/A
自我 |じが |[1] ego [2] self [3] ego |N/A
磁気 |じき |magnetism |N/A
磁器 |じき |porcelain; china; chinaware |N/A
事業 |じぎょう |[1] business; enterprise; venture; (commercial) activity; (business) operation; industry [2] (social) project; undertaking; enterprise; work; activity; program; service |1181
軸 |じく |[1] axis; shaft; axle [2] center; centre; focal point; key point [3] stalk; stem |4772
自己 |じこ |self; oneself |2253
事項 |じこう |matter; item; facts |2039
時刻表 |じこくひょう |timetable; schedule |N/A
地獄 |じごく |[1] hell realm; Naraka [2] Hell [3] hell; misery; nightmare; inferno |4083
時差 |じさ |time difference |N/A
自在 |じざい |[1] being able to do as one pleases; doing at will [2] pothook |N/A
自主 |じしゅ |independence; autonomy; self-reliance |N/A
自首 |じしゅ |surrender (to the authorities); giving oneself up; turning oneself in |N/A
辞職 |じしょく |resignation |N/A
自信 |じしん |self-confidence; confidence (in oneself) |1213
事前 |じぜん |prior; beforehand; in advance; before the fact; ex ante |2476
自尊心 |じそんしん |self-esteem; self-respect; self-importance; conceit; pride |N/A
持続 |じぞく |continuation; persisting; lasting; sustaining; enduring |N/A
字体 |じたい |[1] form of a character (e.g. simplified, traditional) [2] type; typeface; font |N/A
|じっくり |(slowly and) carefully; without haste; thoroughly; deliberately; closely; meticulously |3427
実質 |じっしつ |[1] substance; essence [2] substantive; substantial; essential; real (e.g. interest rate) [3] in essence; in effect; essentially; effectively; practically |N/A
実践 |じっせん |[1] practice; putting into practice; implementation [2] praxis |2927
実態 |じったい |true state; actual condition; reality |2350
実費 |じっぴ |[1] actual expenses; out-of-pocket expenses [2] cost price |N/A
１０分 |じっぷん |ten minutes |1624
実 |じつ |[1] truth; reality [2] sincerity; honesty; fidelity [3] content; substance |377
実業家 |じつぎょうか |businessperson; businessman; businesswoman; entrepreneur; captain of industry |N/A
実情 |じつじょう |real condition; actual circumstances; actual state of affairs |3936
自転 |じてん |[1] rotation (on an axis) [2] rotation (under its own power) |N/A
自動詞 |じどうし |intransitive verb |N/A
地主 |じぬし |landowner; landlord; landlady |N/A
耳鼻科 |じびか |otolaryngology; ear, nose, and throat department |N/A
地元 |じもと |[1] home area; home town [2] local |1046
弱 |じゃく |[1] a little less than; a little under; slightly fewer than [2] weakness; the weak; low (setting) [3] -lower (seismic intensity) |N/A
|ジャズ |jazz |4073
若干 |じゃっかん |[1] some; few; a number of; a little (bit) [2] somewhat; to a certain extent [3] many; a lot |1980
砂利 |じゃり |[1] gravel; ballast; pebbles [2] child; rugrat; ankle-biter |N/A
|ジャンパー |[1] (short) jacket; blouson; windbreaker; jumper [2] ski jumper; jumping event athlete [3] jumper lead; jumper wire |N/A
|ジャンプ |[1] jump [2] jumping event (skiing, track and field) [3] jumping (to another page after clicking a hyperlink) |N/A
|ジャンボ |[1] jumbo; jumbo-sized [2] jumbo jet |N/A
|ジャンル |genre; category; kind |3376
住 |じゅう |dwelling; living |N/A
従業員 |じゅうぎょういん |employee; worker |2996
従事 |じゅうじ |engaging in (work); pursuing (e.g. studies); following (a profession); being involved in |3903
充実 |じゅうじつ |[1] fullness; completeness; perfection; substantiality [2] enhancement; improvement; enrichment; upgrading [3] replenishment; repletion |1347
十字路 |じゅうじろ |[1] crossroads; intersection [2] Juujiro |N/A
柔軟 |じゅうなん |[1] flexible; lithe; soft; pliable [2] calisthenics |N/A
従来 |じゅうらい |[1] up to now; so far [2] traditional; conventional; usual; existing |1361
塾 |じゅく |cram school; private tutoring school; juku |2040
樹木 |じゅもく |[1] tree; trees and shrubs [2] Jumoku |N/A
樹立 |じゅりつ |establishment; founding; setting (a record) |N/A
準急 |じゅんきゅう |semi-express train; local express train; sub-express train |N/A
準ずる |じゅんずる |[1] to follow (a rule, precedent, etc.); to conform to (the law, standards, etc.); to be based on; to apply correspondingly [2] to be proportionate to [3] to correspond to; to be equivalent to; to be treated in the same way as |N/A
助 |じょ |help; rescue; assistant |N/A
状 |じょう |[1] form; shape; appearance [2] state; condition; circumstances [3] letter; correspondence |N/A
情 |じょう |[1] feelings; emotion; sentiment [2] compassion; sympathy [3] passion; affection; love |N/A
尉 |じょう |[1] inspector (third highest of the four administrative ranks of the ritsuryō system) [2] old man [3] white ash (of charcoal) |N/A
畳 |じょう |tatami mat (esp. as a measure of room size, either 1.82 sqm or 1.54 sqm) |N/A
嬢 |じょう |[1] unmarried woman [2] Miss [3] -ess; -ette |N/A
上位 |じょうい |[1] superior (in rank); top; ranking [2] higher order (e.g. byte) [3] host computer (of connected device) |4789
城下 |じょうか |[1] land near a castle [2] castle town |N/A
上空 |じょうくう |sky; the skies; high-altitude sky; upper air |N/A
上司 |じょうし |[1] (one's) superior; (one's) boss; the higher-ups [2] Joushi |1730
上昇 |じょうしょう |rising; ascending; climbing |1777
情勢 |じょうせい |state of things; state of affairs; situation; conditions; circumstances |N/A
情緒 |じょうちょ |[1] emotion; feeling [2] atmosphere; mood; spirit |N/A
情熱 |じょうねつ |passion; enthusiasm; zeal |4293
譲歩 |じょうほ |concession; conciliation; compromise |N/A
条約 |じょうやく |treaty; pact; convention; agreement |4507
上陸 |じょうりく |[1] landing; going ashore; disembarkation [2] making landfall (of a typhoon); striking land; hitting land |N/A
蒸留 |じょうりゅう |distillation |N/A
