本場 |ほんば |[1] home (of something); place famous for its ...; center (e.g. of manufacture); best place (for) [2] place of origin; birthplace; cradle [3] morning session; last session in the morning |N/A
本名 |ほんみょう |real name |N/A
|ホース |hose |N/A
|ホール |[1] hall (dance, concert, etc.) [2] dining area of a restaurant |4106
|ボイコット |boycott |N/A
防衛 |ぼうえい |defense; defence; protection |N/A
妨害 |ぼうがい |obstruction; hindrance; blocking; disturbance; interference; interruption; sabotage; jamming (a signal) |N/A
呆然 |ぼうぜん |dumbfounded; overcome with surprise; in blank amazement; in a daze |N/A
冒頭 |ぼうとう |beginning; opening; start; outset |4392
暴動 |ぼうどう |insurrection; riot; uprising; rebellion; revolt |N/A
暴力 |ぼうりょく |violence; mayhem |3524
牧師 |ぼくし |pastor; minister; clergyman; reverend |N/A
母校 |ぼこう |alma mater |N/A
墓地 |ぼち |cemetery; graveyard |N/A
坊ちゃん |ぼっちゃん |[1] (another's) son; boy; young master [2] green young man from a well-to-do family; young man innocent of the ways of the world |N/A
|ぼつぼつ |[1] gradually; little by little; in a breezy manner [2] soon; before long [3] here and there; scattered |N/A
|ぼやく |to grumble; to complain |N/A
|ぼやける |to become dim; to become blurred |N/A
|ボルト |[1] volt [2] Bohrt |N/A
|ポイント |[10] place where many fish gather [11] ace [12] (projectile) point |1093
|ポジション |position |N/A
|ポット |[1] pot (esp. teapot, coffee-pot) [2] vacuum bottle; thermos flask |N/A
|ポンプ |pump |N/A
|ポーズ |[1] pose [2] pose; posturing; pretence; (an) act |N/A 
