ああ |like that; so |1125
石 |いし |[1] stone [2] jewel; precious stone [3] flint (in a lighter) |1354
苛める |いじめる |[1] to ill-treat; to bully; to torment; to pick on; to tease; to be cruel to; to persecute [2] to be tough on (e.g. one's body); to treat harshly |2952
以上 |いじょう |[1] not less than ...; ... and over; ... and above; ... and upwards; ... or more [2] beyond (e.g. one's expectations); above; more than; further than [3] the above; the above-mentioned; the aforementioned; the foregoing |317
急ぐ |いそぐ |to hurry; to rush; to hasten; to make something happen sooner |1735
致す |いたす |to do |679
一度 |いちど |[1] once; one time; on one occasion [2] temporarily; for a moment [3] one degree; one tone; one musical interval |350
一生懸命 |いっしょうけんめい |very hard; with utmost effort; as hard as one can; with all one's might; for dear life; eagerly; desperately |847
一杯 |いっぱい |[1] one cup (of); one glass (of); one bowl (of); cupful; glassful; bowlful; spoonful [2] one drink (of alcohol) [3] full; filled (with); brimming (with); crowded; packed |419
糸 |いと |thread; yarn; string |2546
以内 |いない |within; inside of; less than |N/A
田舎 |いなか |[1] rural area; countryside; the sticks [2] hometown |1042
祈る |いのる |[1] to pray; to say a prayer; to say grace [2] to wish; to hope |3123
いらっしゃる |[1] to come; to go; to be (somewhere) [2] to be (doing) |689
植える |うえる |[1] to plant; to grow; to raise [2] to insert; to transplant; to implant; to set (type) [3] to inoculate (e.g. an infectious agent) |2403
受付 |うけつけ |[1] reception (desk); information desk; receptionist; information clerk [2] receipt; acceptance |3004
受ける |うける |[10] to be modified by [11] to obtain (a pawned item, etc.) by paying a fee [12] to be well-received; to become popular; to go down well |187
動く |うごく |[1] to move; to stir; to shift; to shake; to swing [2] to operate; to run; to go; to work [3] to make a move; to take action; to act; to go into action |566
内 |うち |[10] I; me [11] imperial palace grounds [12] emperor |133
打つ |うつ |[10] to sprinkle; to throw; to cast [11] to do; to carry out; to play; to perform; to engage in (gambling, etc.) [12] to pay (a deposit, etc.) |619
美しい |うつくしい |beautiful; pretty; lovely; sweet; pure (heart, friendship, etc.) |867
写す |うつす |[1] to copy; to duplicate; to reproduce; to trace; to transcribe [2] to describe; to depict; to portray; to express [3] to imitate; to model after |4653
移る |うつる |[1] to move (house); to transfer (department) [2] to change the target of interest or concern [3] to elapse (passage of time) |1360
腕 |うで |[1] arm [2] ability; skill; talent; competence [3] (physical) strength |1157
裏 |うら |[1] opposite side; bottom; other side; side hidden from view; undersurface; reverse side [2] rear; back; behind [3] lining; inside |1397
売り場 |うりば |[1] selling area; counter; section; department; sales floor [2] favorable time to sell; good time to sell |N/A
うん |[1] yes; yeah; uh huh [2] hum; hmmm; well; erm; huh? [3] oof |265
運転手 |うんてんしゅ |driver; chauffeur |3805
エスカレーター |escalator |N/A
枝 |えだ |branch; bough; limb; twig; sprig; spray |2550
選ぶ |えらぶ |to choose; to select |382
遠慮 |えんりょ |[1] reserve; constraint; restraint; modesty; diffidence; hesitation; holding back; discretion; tact; thoughtfulness [2] declining; refraining [3] forethought; foresight |4462
お出でになる |おいでになる |[1] to be [2] to come [3] to go |N/A
お祝い |おいわい |[1] congratulation; congratulations; celebration; festival [2] congratulatory gift; present |N/A
お陰 |おかげ |[1] grace (of God); benevolence (of Buddha); blessing [2] assistance; help; aid [3] effects; influence |1195
可笑しい |おかしい |[1] funny; amusing; comical; laughable; ridiculous [2] strange; odd; funny; peculiar; weird; wrong; unusual; eccentric [3] wrong; unsuitable; improper; inappropriate; unbecoming |915
億 |おく |hundred million; 100,000,000; 10^8 |1164
屋上 |おくじょう |rooftop |N/A
贈り物 |おくりもの |present; gift |N/A
送る |おくる |[1] to send; to dispatch; to forward; to transmit; to ship; to remit [2] to see (someone) off; to escort; to accompany; to take [3] to bid farewell to (the departed); to say goodbye to; to bury |443
遅れる |おくれる |[1] to be late; to be delayed; to fall behind schedule; to be overdue [2] to fall behind (in a race, one's studies, etc.); to lag behind; to be behind (the times) [3] to be bereaved of; to be preceded by (someone) in death |1563
起こす |おこす |[1] to raise; to raise up; to set up; to pick up [2] to wake; to wake up; to waken; to awaken [3] to cause; to bring about; to lead to; to trigger; to give rise to; to create; to generate (e.g. heat, electricity); to produce |614
行う |おこなう |to perform; to do; to conduct oneself; to carry out |146
怒る |おこる |[1] to get angry; to get mad; to lose one's temper [2] to scold; to tell (someone) off |839
押入れ |おしいれ |closet (built into the wall, usu. with sliding doors); (built-in) wardrobe |N/A
お嬢さん |おじょうさん |[1] (another's) daughter [2] young lady |N/A
お宅 |おたく |[1] your house; your home; your family [2] your husband [3] your organization |2919
落ちる |おちる |[10] to be ruined; to go under; to fall (into hell) [11] to fall (in love, asleep, etc.) [12] to fall (into someone's hands); to be accepted (of a bid); to be won (of a tender); to be honoured (of a bill) |611
仰る |おっしゃる |[1] to say; to speak; to tell [2] to be called |1174
夫 |おっと |husband |621
お釣り |おつり |[1] change (for a purchase) [2] toilet splashback |N/A
音 |おと |[1] sound; noise [2] (musical) note [3] fame |413
落とす |おとす |[10] to win over; to seduce; to conquer (unwillingness) [1] to drop; to lose; to let fall; to shed (light); to cast (one's gaze); to pour in (liquid); to leave behind [2] to clean off (dirt, makeup, paint, etc.); to remove (e.g. stains or facial hair); to lose; to spend money at a certain place; to omit; to leave out; to secretly let escape |1064
踊り |おどり |dance |3416
踊る |おどる |[1] to dance (orig. a hopping dance) [2] to be manipulated; to dance to someone's tune |1995
驚く |おどろく |[1] to be surprised; to be taken aback; to be amazed; to be astonished; to be shocked [2] to be frightened; to be startled; to be alarmed |708
お祭り |おまつり |festival; feast; carnival; matsuri |N/A
お見舞い |おみまい |calling on someone who is ill; enquiry; inquiry |N/A
お土産 |おみやげ |[1] local specialty or souvenir bought as a gift while travelling [2] present brought by a visitor [3] something unpleasant that one is given (e.g. an illness while on vacation); unwelcome gift; disservice |2694
思い出す |おもいだす |to recall; to remember; to recollect |594
思う |おもう |[1] to think; to consider; to believe; to reckon [2] to think (of doing); to plan (to do) [3] to judge; to assess; to regard |34
玩具 |おもちゃ |[1] toy [2] (person or thing treated as a) plaything |3244
表 |おもて |[10] Omotesenke school of tea ceremony [1] surface [2] face (i.e. the visible side of an object) |4557
親 |おや |[1] parent; parents; mother and father [2] dealer; banker [3] founder; inventor |336
泳ぎ方 |およぎかた |way of swimming |N/A
折る |おる |[1] to break; to fracture; to break off; to snap off; to pick (e.g. flowers) [2] to fold; to bend [3] to make (origami) |3336
お礼 |おれい |[1] thanks; gratitude [2] manners; etiquette [3] bow |N/A
折れる |おれる |[1] to break; to be broken; to snap; to fracture [2] to be folded [3] to give in; to back down; to yield; to submit |3522
終わり |おわり |[1] end; ending; close; conclusion [2] end of (one's) life; death |837
オートバイ |motorcycle; motorbike |N/A
