kanji|reading|meaning|frequency
近い |ちかい |[1] near; close; short (distance) [2] close (in time); soon [3] close (relationship); friendly; intimate |488
近く |ちかく |[1] near; neighbourhood; neighborhood; vicinity [2] nearly (e.g. "it took nearly one year"); close to [3] shortly; soon |420
地下鉄 |ちかてつ |subway; metro; underground (railway) |2658
違う |ちがう |[1] to differ (from); to be different; to be distinct; to be unlike; to vary; to disagree (with) [2] to be wrong; to be incorrect; to be mistaken [3] to become abnormal; to go wrong |186
地図 |ちず |map; atlas; chart; plan |2138
茶色 |ちゃいろ |brown; light brown; tawny |N/A
茶碗 |ちゃわん |rice bowl; tea cup; teacup |N/A
丁度 |ちょうど |[1] exactly; precisely; just; right; opportunely; fortunately [2] just (like); as if; as though |373
一寸 |ちょっと |[1] a little; a bit; slightly [2] just a minute; for a moment; briefly [3] somewhat; rather; fairly; pretty; quite |85
１日 |ついたち |[1] first day of the month [2] Tsuitachi |1161
使う |つかう |[1] to use (a tool, method, etc.); to make use of; to put to use [2] to use (a person, animal, puppet, etc.); to employ; to handle; to manage; to manipulate [3] to use (time, money, etc.); to spend; to consume |119
疲れる |つかれる |[1] to get tired; to tire; to get fatigued; to become exhausted; to grow weary [2] to become worn out (of a well-used object) [3] to starve |1063
次 |つぎ |[1] next; following; subsequent [2] stage; station |165
着く |つく |[1] to arrive at; to reach [2] to sit on; to sit at (e.g. the table) |680
机 |つくえ |desk |2201
作る |つくる |[10] to fabricate (an excuse, etc.) [11] to give a (false) appearance; to feign (a smile, etc.); to put on a show of emotion [12] to form (a line, etc.) |110
付ける |つける |[10] to load; to give (courage to) [11] to keep (an eye on) [12] to establish (relations or understanding) |204
勤める |つとめる |[1] to work (for); to be employed (at); to serve (in) [2] to serve (as); to act (as); to fill (the position of); to play the role (of) [3] to conduct a religious service |1052
詰らない |つまらない |[1] dull; uninteresting; boring; tedious [2] insignificant; unimportant; trifling; trivial; worthless [3] absurd; foolish; silly; stupid |N/A
冷たい |つめたい |[1] cold (to the touch); chilly; icy; freezing [2] (emotionally) cold; coldhearted; unfeeling; indifferent; unfriendly; distant |1546
強い |つよい |[1] strong; potent; competent; domineering; tough [2] strong; brawny; powerful; healthy; rugged [3] good (at); skilled; knowledgeable |288
手 |て |[10] ability to cope [11] hand (of cards) [12] direction |194
手紙 |てがみ |letter; note |797
|テスト |[1] test (of ability, knowledge, etc.); exam; examination; quiz [2] test (of performance, quality, etc.); trial [3] rehearsal |2224
|テレビ |[1] television; TV [2] TV program; TV programme; TV broadcast |408
天気 |てんき |[1] weather [2] fair weather; fine weather |2160
|テーブル |table |1733
|テープ |tape |2702
|テープレコーダー |tape recorder |N/A
出かける |でかける |[1] to go out (e.g. on an excursion or outing); to leave; to depart; to start; to set out [2] to be about to leave; to be just going out |798
出来る |できる |[10] to get pregnant [1] to be able to do; to be possible; to be permitted (to do) [2] to be good at; to do well; to be proficient (in); to be capable |80
出口 |でぐち |[1] exit; way out [2] outlet; vent |N/A
|では |[1] then; well; so; well then [2] bye then [3] at; in; by; with; using |769
|デパート |[1] department store [2] department |2137
|でも |[1] but; however; though; nevertheless; still; yet; even so; also; as well [2] even [3] however; no matter how; even if; even though |140
出る |でる |[10] to exceed; to go over [11] to stick out; to protrude [12] to break out; to occur; to start; to originate |99
電気 |でんき |[1] electricity [2] (electric) light |1898
電車 |でんしゃ |train; electric train |676
電話 |でんわ |[1] telephone call; phone call [2] telephone (device); phone |324
戸 |と |[1] door (esp. Japanese-style) [2] shutter; window shutter [3] entrance (to a home) |N/A
|トイレ |[1] toilet; restroom; bathroom; lavatory [2] going to the toilet; relieving oneself |1219
遠い |とおい |[1] far; distant; far away; a long way off; in the distance [2] distant (past); remote (in time); remote; far-removed (in time) [3] distant (relationship or kinship); having little to do (with someone) |1167
１０日 |とおか |[1] 10th day of the month [2] ten days [3] Tooka |2008
時々 |ときどき |[1] sometimes; occasionally; at times; from time to time; now and then; once in a while; at intervals [2] seasonal; of the season; appropriate (for the season or occasion) |1109
時計 |とけい |clock; watch; timepiece |2452
所 |ところ |[10] about to; on the verge of [11] was just doing; was in the process of doing; have just done; just finished doing [12] approximately; around; about |71
年 |とし |[1] year [2] age; years [3] past one's prime; old age |470
図書館 |としょかん |library |1932
迚も |とても |[1] very; awfully; exceedingly [2] (not) at all; by no means; simply (cannot) |142
隣 |となり |[1] next (to); adjoining; adjacent [2] house next door; neighbouring house; next-door neighbour; next-door neighbor |786
飛ぶ |とぶ |[10] to be missing (of a page, stitch, etc.); to skip; to jump (e.g. of a conversation) [1] to fly; to soar [2] to jump; to leap; to spring; to bound; to hop |836
止まる |とまる |[1] to stop (moving); to come to a stop [2] to stop (doing, working, being supplied); to come to a halt; to cease; to be stopped; to be suspended [3] to alight; to perch on |846
友達 |ともだち |friend; companion |219
鳥 |とり |[1] bird [2] bird meat (esp. chicken meat); fowl; poultry |1209
取る |とる |[10] to secure; to reserve; to save; to put aside; to keep [11] to take (e.g. a joke); to interpret; to understand; to make out; to grasp [12] to record; to take down |132
撮る |とる |[1] to take (a photograph) [2] to record (audio or video); to film; to shoot |N/A
|ドア |door |1150
如何 |どう |how; in what way; how about |N/A
如何して |どうして |[1] how; in what way; by what means [2] why; for what reason; for what purpose; what for [3] cannot possibly |637
|どうぞ |[1] please; kindly; pray; I beg (of you) [2] by all means; certainly; of course; (go) ahead; (feel) free (to); (you are) welcome (to); please (help yourself to) [3] here you are |1793
動物 |どうぶつ |animal |709
|どうも |[1] thank you; thanks [2] much (thanks); very (sorry); quite (regret) [3] quite; really; mostly |N/A
何処 |どこ |[1] where; what place [2] how much (long, far); what extent |181
何方 |どちら |[1] which way; which direction; where [2] which one (esp. of two alternatives) [3] who |2543
何方 |どなた |who |2854
何の |どの |which; what (way) |328
土曜日 |どようび |Saturday |2384
何れ |どれ |[1] which (of three or more) [2] well; now; c'mon |663
