kanji|reading|meaning|frequency
病気 |びょうき |[1] illness (usu. excluding minor ailments, e.g. common cold); disease; sickness [2] bad habit; bad behaviour; weakness; failing [3] crazy; insane; disturbed; sick in the head |559
|フィルム |film |4341
封筒 |ふうとう |envelope |N/A
|フォーク |[1] fork [2] forkball |N/A
服 |ふく |[1] clothes (esp. Western clothes); clothing; dress; costume; suit; outfit [2] counter for doses of medicine, gulps of tea, puffs of a cigarette, etc. |1370
吹く |ふく |[1] to blow (of the wind) [2] to blow (one's breath); to breathe out; to blow on (hot tea, candles, etc.); to puff [3] to play (a wind instrument); to blow (a whistle, trumpet, etc.); to whistle (a tune) |1763
二つ |ふたつ |two |434
二人 |ふたり |two persons; two people; pair; couple |245
２日 |ふつか |[1] 2nd day of the month [2] two days [3] Futsuka |1523
太い |ふとい |[1] fat; thick [2] deep (of a voice); thick; sonorous [3] daring; shameless; brazen; audacious |2557
冬 |ふゆ |winter |790
降る |ふる |[1] to fall (of rain, snow, ash, etc.); to come down [2] to form (of frost) [3] to beam down (of sunlight or moonlight); to pour in |1112
古い |ふるい |[1] old; aged; ancient; antiquated; antique; timeworn [2] long; since long ago; time-honored [3] of the distant past; long-ago |720
風呂 |ふろ |[1] bath; bathing; bathtub; bathroom [2] bathhouse; public bath [3] room for drying lacquerware |1430
豚肉 |ぶたにく |pork |4736
文章 |ぶんしょう |[1] writing; composition; essay; article; passage; prose; (writing) style [2] sentence |1274
|プール |[1] (swimming) pool [2] pool (cue sport) [3] pooling (money, resources, etc.) |2618
下手 |へた |[1] unskillful; poor; awkward [2] imprudent; untactful |2033
部屋 |へや |[1] room; chamber [2] apartment; flat; pad [3] stable |372
辺 |へん |[1] area; vicinity; region [2] side; edge [3] circumstances |577
|ベッド |bed |1504
勉強 |べんきょう |[1] study [2] diligence; working hard [3] experience; lesson (for the future) |385
便利 |べんり |convenient; handy; useful |763
|ペット |[1] pet [2] trumpet |2100
ＰＥＴ (ＰＥＴ) |ペット |[1] polyethylene terephthalate; PET [2] positron emission tomography; PET |N/A
|ペン |pen |N/A
頁 |ページ |[1] page [2] nth page; page ... |2197
他 |ほか |[1] another place; some other place; somewhere else; outside [2] another (person or thing); other; different; something else; someone else; the rest; et al. [3] beyond (one's expectations, imagination, etc.); outside |173
欲しい |ほしい |[1] wanting (to have); desiring; wishing for [2] I want (you, them, etc.) to (do) |642
細い |ほそい |[1] thin; slender; fine [2] unlucky |1589
|ホテル |hotel |617
本 |ほん |[1] book; volume; script [2] this; present; current; ... in question; ... at issue [3] main; head; principal |327
本棚 |ほんだな |bookshelves; bookshelf; bookcase |N/A
本当 |ほんとう |[1] truth; reality; actuality; fact [2] proper; right; correct; official [3] genuine; authentic; real; natural; veritable |97
帽子 |ぼうし |hat; cap |3185
釦 |ボタン |[1] button (clothing) [2] push-button; button |2250
|ボールペン |ball-point pen |N/A
|ポケット |pocket |2979
|ポスト |[1] postbox; mailbox; mail box; pillar box [2] post; position [3] post (e.g. goalpost) |4045
